street,extent
PIG AL,"from Charles, S of Lee"
PIMLICO AL,south from L. Montgomery
PIN AL,"from Arch, N of Lexington"
"PINE,(N)",going north from 510 w Baltimore
PINE (S),from 505 W Baltimore
PLEASANT,going west from Jones' Falls
PLEASANT AL,from 165 S Chapel
"PLEASANT, LITTLE","from N Charles to Park, N of Saratoga"
PLOVER AL,"from Centre, E of Park"
PLOWMAN,"from Jones Falls to High, S of Baltimore"
PLUM,from 284 Montgomery
PLUM ROW,from 23 Plum
POINT LA,from Broadway at Gay to Har
POINT,from 1 Thames
POPPLETON (N),going north from 678 W Baltimore
POPPLETON (S),going south from 657 W Baltimore
PORT,"from Aliceanna to Canton av, betw'n Cannon and Burke"
PORTER,"going south from Nicholson, E of Stevenson"
PORTLAND,going west from intersection of Greene and Columbia
POST OFFICE AV,"(formerly Foreman,) ond"
POTOMAC,"going north and south from Bal timore, EofPatuxeut"
POULTNEY,"going west from Light, S of Hamburg"
PRATT (E),"going east from East Falls av, S of Lombard"
PRATT (W),going west from Jones' Falls Mount Clare Station
SEWING MACHINE,is the
PRATT-ST WHF,"from Light-st. to Bowlj's wharf SS^F'^^H^-(^''«°)-Boston, Canton"
PRESBOTIY,"from N Calhoun, N of Baker"
PRESIDENT,going south from 17 e Pratt
PRESIDENT AL,"from President, S of East ern avenue"
PRESSTMAN W,"from Garden, N of Robert"
PRESTON,going E from Pennsylvania av McCulloh
PROCTOR AL,"from Chase, E of Greenmount avenue"
PROSPECT LA,"from Anthony, S of Eden"
PROSSER,going south from E of
PUBLIC WHARF,"foot of Wills, S of Citv •' Dock"
PULASKI,going north and south from W
PUTNAM,"from James, S of Clare"
QUAY AL,"from basin to Light, s of Lee"
RABORG,going west from 4 n Greene
RACE,"from S Charles, W of Hanover tremont going west"
RANDALL,"going east from Sharp, S of Fort wil Madison"
REESE,going south from E of
REESE AL,"from Lee, W of"
REGESTER (N),going north from 314 E Balti
REGESTER (S),going south from 321 E Baltimore
REPUBLICAN,(S)-going south from 783 W Baltimore
RESERVOIR,"AV-going south from Bank, ' E ot Chester mp^Rfpn~r'^''r'''&quot;^''°°^^^^°D^&quot;idHillay"
ROBINSON'S CT-N,from'210 EasteTav
ROCK,from 337 Lexington
ROSE,from Madison av between Preston
JOSE LA,Cathedral extended
ROSS,now Druid Hill av
RUSSELL,"from 218 s Fremont Amity, S of McHenry"
SADTLER AL,"from Warren, E of Henrv"
SALISBURY AL,from Exeter to Lloyd N of Right
SARATOGA GT,"from Arch, S of Saratoga"
SASSAFRAS,"going south from Cross, W Wicomico"
SCHROEDER (N),from 722 w Baltimore
SCHROEDER (S),from 705 w Baltimore
SCHROEDER CT,from Schroeder W Amity
SCOTT,from 355 &quot;W Lombard
SCREW DOCK,from 15 Thames
SECOND (W),"going west from Centre Mar ket space, S of Baltimore"
SECOND (E),going east from Jones' Falls N of Lombard
"SECOND, LITTLE",going south from Fifth
SECOND LA,"from Fifth lane, near Powder house"
SEVENTH,"going south from Water, near Powder house"
SEVERN,"south from Cross, W of S Paca"
SHAD AL,from N Greene to Diamond S Lexington
SHAKSPEAR,"from Bond to Broadway, n"
SHARP (N),from 292 w Baltimore
SHARP (S),south from 289 w Baltimore
SMITH BROS,"&amp; CO., Tailors"
SHIELDS AL,"at Smith's la, running south"
SHIRK'S AL,"from Jones' Falls, N otf North"
SHORT,from 52 Orleans
SHORT AL,"from Short, e of Aisquith"
SIXTH,"^from Fourth, near Powder house"
SLAUGHTER HOUSE AL,(now Bankard's
SLEMMER AL,from Granby E of President
SLEMMER AL,"from N Spring, N of Monu"
SMALLWOOD,going north and south from
SMITH,"from Fremont to Pennsylvania av, N"
SMITH'S AL,"from Gay to Frederick, S of"
SMITH'S CT,from 58 n Eutaw
SMITH'S WHF,from S E cor of W Pratt
SMITH'S AL,from Eden n of Chew
SMITH'S LA,from Smith's wharf to Buch
SNYDER'S CT,"from Regester to Ann, N of"
SOMERSET,from 280 e Madison
SOUTH,going south from 115 W Baltimore
SOUTH LANE,"going north from Barre, be"
SPEAR'S WHF,from 43 W Pratt
SPRING CT,from S Charles N of Camden
SPRING GARDEN AV,"from York, W of Sharp"
SPRING GARDEN WHF,foot of Eutaw Fayette
SPRING (S),going south from 199 E Balti more Aliceanna Lancaster
SPRING AL E,from 21 N Spring to Caroline
SPRING ROW S,Spring betw Lombard and Pratt
SPRUCE AL,"fm S Washington, S of Gough"
SPURRIER'S CT S,"side of Lexington, W of St. Paul"
STAG AI^,"from Lexington, W of Eutaw"
STABLE AL,"from Lombard, W of Gay"
STATE,"going north from 133 Saratoga STATE-Sf CT from State, N of Saratoga"
STERRETT S,"from McHenrv, W of Fremont"
STEVENS AL E,"from Front, S of Gay"
STEVENSON S,"from Beason, e of Marriott"
STEVENSON CT E,from 104 Jasper
STILES,going east from 24 East Falls ar
STIRLING,from 17 Mott
STIRLING AL,from 135 Stirling
STIRRAT CT,"or AL rear 81 Stirling, N of Monument"
STOCKHOLM,going west from Leadenhall N of Ostend
STOCKTON AL,"from Lexington, W of Re publican"
STONE AL,"from Riddle to Biddle al, E of Pennsylvania av"
STRICKER (N),going north from 866 W Baltimore
STRICKER (S),going south from Baltimore W of Calhoun
STRANGE AL,"from Charles, N of Baltimore"
STUART,"going s fm Nicholson, E of Andre"
STUMP A L,"from Barre, W of Charles"
ST. JAMES,"from Central av, N of Madison"
ST. MARY,going west from 163 Madison av
ST. MARY'S CT,from 11 Pennsylvania av
ST. PAUL,going north from 186 w Baltimore
ST. PAUL CT W,from St. Paul N of Sar atoga
ST. PETER,"from S Paca to Parkin, S of Co lumbia"
ST. PETER AL,"from Parkin, S of Columbia"
ST. THOMAS CT,"from 213 Chesnut, betw Hillen and Front"
SWAN,"from Jones Falls to Centre Market space, S of Baltimore"
SWAN AL,between S Bethel and S Bond
SWANN'S WIIF,from cor Fell and Wolfe
TELEGRAPH,(now Oxford) from 176 Druid
TENPIN AL,from Spring near Baltimore
TESSIER,going north from 106 St. Mary
THAMES,"east from Philpot, S of Lancaster"
THIRD,from Cross to Randall
THOMPSON,"going west from Fremont, be"
THOMPSON AL,"from Fremont, N of Lom"
THOMSEN,"from Forrest to Aisquith, N of"
TOONE,"going E from Boston, S of Ellicott"
TOWNSEND,going S W and N W from
TOWSON,"going south from Cox, E of Hull"
TREGO'S WHF,east end of Hughes
TRINITY,going east from 78 Albemarle
TRIPOLET'S AL,"(formerly Foreman, now"
TRUXTON,"from Jones Falls, N of Peniten"
TYSON,(formerly Lerew's al) going north
TYSON,going south from 148 Cathedral
TYSON AL,"from Richmond, B of Howard"
TRUSTS AL,from 6 Hill S to L. Hughes
UHLER'S AL,"Hanover to Charles, N of Pratt"
ULRICK AL,(formerly Hoggal) Caroline to
UNION AL,from 35 N Central av to Caroline
UNION CT,"north of Madison, betw Ensor"
UNION,from 109 Pennsylvania avenue
UNION SQUARE,bounded by Gilmor
UNION DOCK,from Eastern avenue w of
UPTON,"from Townsend, E of Fremont"
UPTON PARK,"from George, betw Chats"
VALLEY,"from 33 Neighbor,W of Harford av"
VINCENT N,"from Baltimore, E of Mount"
VINE W,"from Arch, S of Lexington"
WAESCHE,"from Saratoga, E of Fremont"
WAGON AL,going east and west from 69 n
WALKER,from 240 Columbia
WALKER,"from Bond, S of McElderry"
WALKER'S CT E,"from Bond, N of Jefferson"
WALL,"from Dugan's wharf, S of Pratt"
WALNUT AL,from Pearal to Druid Hillav
WALSH,going north' from 260 W Biddle
WALTEMEYER AL,"from Fremont, N of"
WARNER,going from 81 Elbow la
WARREN S,of Russell
WARREN,"from Light, S of Little Church"
"WARREN, F. P","from Bethel, S of Bank"
WASHINGTON AV,going south from Cross
WASHINGTON,(now Lincoln) ■«*
WASHINGTON (N),going north from Bal
WASHINGTON (S),going south from Bal
WASHINGTON PLACE,"from Centre to Mad ison, W of St. Paul"
WASHINGTON SQ,including Washington Monument
WATER,"from South to Light, N of Lombard"
"WATER, F. H","going east from William, S of Gittings"
WATERS' WHARF,from N E cor of Fell and Wolfe
WATERS' CT,"from Biddle, W of Penna av"
WATERS' ROW,"from Biddle, W of Penna av"
WATSON,"from High to Central av, S of Bal timore"
WATSON AL,from 5 Watson st
WATSON CT S,from 71 Watson
WAVERLY TERRACE,"Carey, from Fay ette to Lexington"
WAYNE,going east from 132 S Eutaw
WEBB,"from Ensor, N of Chew"
WEBSTER,"going south from Clement, E of Powder House"
WEBSTER CT,rear of 179 Greenmount av
WEBSTER AL,from Orbit al s of Eager
WELCOME AL,west from 174 Light-st whf
WELLS,&amp; MILLER'S AL east from 70 PrGSlQGIlt
WELLS WHARF,foot of Warren near Cov ington
WELSH AL,from 192 Lexington
WEST AL,"from Eutaw, s of Camden"
WEST A L,"from 200 Stirling, near Eager"
WEST FALLS AV,going s from Lombard Right
WHITE AL,going west from 88 n Poppleton
WICOMICO,"going south from Cross, west of Severn"
WILK ENS,"running north from Frederick av, e of tollgate"
WILLIAM,going south from 23 York
WILLIAMSON AL,from Hanover to Light n of Hamburg
WILLOW,from 52 Harford av
WILLS,from 28 Phllpot
WILLS-ST. WHF,end of Wills
WILMER AL,from 43 w Hofifman
WILSON,from 431 Pennsylvania av
WILSON AL,south from 161 e Madison
WINANS' ROW,"from Jackson, e of Light"
WINDER,"east from Light, s of Baltimore and Ohio railroad"
WINDERLING ROW,north from 438 Can ton aveuue
WINDSOR,"from Boston to Cambridge, s of"
WINDSOR MILL ROAD,west from n Fre
WINE AL,"from Light to Charles, s of Bal"
WINTER'S AL,betw Cross and Hamburg
WOLFE (N),north from 364^Baltimore
WOLFE (S),going south fm 3g9 e Baltimore
WOLFE AL,from Perry fw of Howard
WOOD,"from South to Bewly's wharf, s of Pratt"
WOOD AL,"from Adams, e of Fremont"
WOOD'S AL,from 8 n Charles
WOODS' CT,"south of Bank, w of Central av"
WOODBURY N. C,"R.,rear Druid Hill Park"
WOOSTER,"from James, s of Stockholm"
WYETH,from 224 Columbia
YELLOTT'S CT,rear of 219 Chesnut
YORK,"going west of Basin, s of Lee"
YOUNG,from 22 Orleans
YOUNG AL,"west^'rom 12,9 n Bethel"
MAEKETS,
BELAIR MARKET,"Forre&amp;t, from Hillen to day evenings"
CANTON MARKET,"from^Patapsco to Poto mac, north of Elliott"
CENTRE MARKET,from Baltimore to Pratt
CROSS STREET MARKET,from Light to
FELL'S POINT MARKET,Broadway from
HANOVER MARKET,n w cor Hanover and urday evenings
HOLLINS MARKET,"Ilollins, s of Baltimore ings"
LEXINGTON MARKET,"Lexington, from Saturday evenings"
RICHMOND MARKET,from Howard to Bid evenings
APPENDIX,
GOVERNMENT OF THE,The Twentieth Presidential term of four years
ANDREW JOHNSON,of Tennessee
BENJAMIN F. WADE,of Ohio
WM. M. SEWARD,of New York
HUGH,"McCULLOH, of Ohio"
GEN. JNO.M. SCHOFIELD,of Pennsylvania
GIDEON WELLES,"of Connecticut W. M BROWNING, of Illinois"
ALEXANDER W. RANDALL,ofWisconsin
WM. M. EVARTS,of Ohio
GOVERNMENT OF THE,
ODEN BOWIE,of Prince George County
JOHN M.CARTER,of Baltimore City
ROBERT FOWLER,of Baltimore County
WILLIAM J. LEONARD,of Somerset County
JOHNS. BERRY,"of Baltimore County G. L. L. DAVIS, of Baltimore City Commissioner H. A. SILVER, of Harford County"
BOARD OF PUBLIC WORKS,
"GOV. ODEN BOWIE, ROBERT FOWLER",
WM. J. LEONARD,
STATE DEPARTMENT OF LABOR AND,
AGRICULTURE,
WM. S,"McPHERSON, Superintendent L. GIDDINGS, Asst. Superintendent"
JOHN W. KENNEDY,Chief Clerk
HERMAN HOEPFNER,"Clerk and Interpreter C. BITTER, Boarding Agent Agents for Rosendale Cement"
UNITED STATES,President
STATE OF MARYLAND,
STATE NORMAL SCHOOL,"M. A. NEWELL, Principal"
JOHN CARSON,of Baltimore City
JAMES L. BRYAN,Principal of St. Johns
CORONER,
INSPECTOR GENERAL STATE MILITIA,
CITY GOVERNMENT,
ROBERT T. BANKS,
WM. ROBERTSON,Sec'y to Mayoralty
JOHN H. BARNES,"Register E. A. SLICER, Deputy Register"
JOHN A. ROBB,Clerk to Register
SAMUEL MACCUBBIN,Comptroller
MEMBERS OF THE,Officers of the First Branch President Henry DuvalL Chief Clerk James Hyde Reading&quot; Stephen J. Joice Sargeant at Arms Wm. J. Brady First Branch
POLICE ORGANIZATION,
LEFEVRE JARRETT,"President, \ Commis"
JAS. E. CARR,"Treasurer, \ sioners"
"WM. H. B. FUSSELBAUGH, J",
THOMAS E. MARTIN,Secretary
JOHN T. FARLOW,Marshal
JOHN T. GREY,Deputy Marshall
TAX DEPARTMENT,N. W. cor. Jlolliday and Lexington
JAMES,"n. BARNEY, City Collector"
GEORGE M. FORNEY,"Deputy H. P. MOWINKLE, Cashier"
JUDGES OF APPEAL TAX COURT,
EDWARD A. GIBBS,
RICHARD C. WELLS,
BEALE H. RICHARDSON,The GROVER &amp; BAKER Mayor
SAM' LI. MACCUBBIN,Clerk to Comptroller
WM. HENRY NORRIS,City Counsellor
ROBT. D. MORRISON,City Solicitor
WM. H. PHELPS,Mayor's Detective
FRED'K S. HIPKINS,3lessenger to Mayor
CITY COUNCIL,nth &quot; George A President James Webb Clerk Wm. J. O'Brien
WATER DEPARTMENT,
JAMES CURRAN,Water Engineer
WILLIAM L. SHARRETTS,Registrar
CITY COMMISSIONER,
JOHN H. TEGMEYER,
LEWIS E. SLICER,Assistant
GEORGE P. WOODWARD,Clerk
PORT WARDEN,
GEORGE W. RUSSELL,
WM. T. V. LOANE,Clerk
PARK COMMISSIONERS,
ROBERT T. BANKS,Chairman
HON. THOMAS SWANN,
JOHN H. B. LATROBE,
WM. E. HOOPER,
ROBERT LESLIE,
COLUMBUS O'DONNELL,
SEWING MACHINE,is the
HEALTH DEPARTMENT,Office Old City Hall
"MILTON N. TAYLOR, M. D","Commissioner Health J. W. F. HANK, M. D., Assistant Commis sioner of Health"
"DAVID O'KEEFE, M. D",Physicianto Marine Hospital
VACCINE PHYSICIANS,Kelly Bohanan Coonan Carlin Lee Brewer Tall Saxton COxMMISSIONERS Office N. E. Corner E. WYATT BLANCHARD
WM. R. CREERY,H. M. COWLES Ward. Commissioners
LOCATION AND TEACHERS,"schools Baltimore City College, corner of Holliday Eastern Female High School, Aisquith near Western &quot; &quot; School, corner of Fayette State Normal School, Red Men's Best for all purposes. Sales"
MAGISTRATES,OF PUBLIC SCHOOLS of Holliday and Fayette
SCHOOLS. LOCATION,"Female Male Grammar School No. cor. of Fremont street Female &quot; &quot; No Female &quot; &quot; No. II U II Male Grammar School No. n, Eastern avenue near Female &quot; &quot; No. II i( Male Grammar School No .19, Park avenue near Female &quot; &quot; No .19, corner Howard and &quot; &quot; No. II *ii Female &quot; &quot; No. II U &quot; &quot; No. II u &quot; &quot; No. II &quot; &quot; No. II II Female &quot; &quot; No. II II I'emale &quot; &quot; No. II II Male Primary School No. IG, Ilillen near High Female &quot; &quot; No. II II"
SMITH BROS,"&amp; CO., Tailors"
PRINCIPALS,"Mary and Hudson streets, H. Hopkins Mary Nancy II Susan Eden streets, M. Connolly J. Evans U II Kate Emily and Wagon al Mary &quot; No corner Greene"
EVENING SCHOOL,No. corner Chesapeake &quot; No. corner Broadway &quot; No. Aisquith near &quot; No. n e corner Hanover &quot; No. Druid Hill avenue &quot; No. corner Bond &quot; No. corner Fremont-st
MUSIC TEACHER,Eastern District Edwin &quot; &quot; Western &quot; R &quot; &quot; High Schools J. Harry
FIRE DEPARTMENT,"Office, M"
BOARD OF FIRE COMMISSIONERS,
JOHN S. HOGG,President
AUGUSTUS ALBERT,1
THOS. W. CAMPBELL,' ^
MARTIN A. SISSON,Oommissioners \
WM. WILSON,"Jr., J"
JOHN WILLIAMS,Secretary
CHAS. T. HOLL«JWAY,Inspector
JOHN W. WATKINS,Chief Engineer
GEO. W. ELLENDER,Ask
WILLIAM C,Asst. &quot;
ROSS,
ENGINE CO,No. 1 House located Paca-st between Fayette and Lexington
ENGINE CO,'No. 2 House located Barre-st between Sharp and Hanover
ENGINE CO,"No. 3 House located Lombard street, between High and E.veter"
ENGINE CO,"No. 4 House located North street, between Fayette and Lexington"
ENGINE CO,No. 5 House located Ann-st between Pratt and Gough
ENGINE CO,No. 6 House located cor Gay and Ensor streets
ENGINE CO,No. 7 House located cor Druid Hill avenue and Eutaw street Higgenbotham Shaw Deems
HOOK AND LADDER,No. 1 House located more
HOOK AND LADDER,No. 2 House located
CITY POLICE AND,
FIRE ALARM TELEGRAPH,recovery of lost children Police Station House the turns until answered
JOHN H. WITMAN,Superintendent THE
BELLS OF THE FIRE DEPARTMEMT,Will strike the No. of the Box
THUS,: strike List of Telegraphic Fire Alarm Stations Hill avenue CI Saratoga and Schroeder streets fi3 Broadway and Thames streets J. HENRY GIESE &amp; CO
WARD MANAGERS OP THE POOR,
POST OFFICE,Exchange Buildings Postmaster Edward Shriver Treasurer J. P. W. Richardson Chief Clerk Wm. Mahony Registry Clerk Lemuel Jones Stamp Clerk Isaac Evans be had at the Post Office
RATES OF POSTAGE,week table of rates Letter Office
TIME OF ARRIVAL AND,"East Phila., N. Y. and Boston, through daily &quot; &quot; &quot; &quot; Abingdon, Fallston, Little Gunpowder, Port delphia Way daily Delaware and Eastern Shore of Md daily Cub Hill, Monday and Friday &quot; Tuesday and Saturday West St. Louis Cincinnati Wheeling Cumberland and Wheeling Way Cumberland Northwestern Virginia Frederick, Md Baltimore and Cumberland Way Catonsville North California overland, via Chicago Chicago York Harrisburg, Chambersburg, Pittsburg, daily Do York and Harrisburg Way Western Maryland Railroad Buffalo, Elmira and Rochester, N. Y South Through South Washington, D. C daily Richmond and Petersburg Georgetown and Alexandria Prince George's, Charles and St. Mary's Counties, Md Washington Way Annapolis, Md &quot; Way Calvert County Old Point Comfort and Norfolk Towsontown"
CUSTOM HOUSE,N. W. cor Gay and Lombard. Office hours
COLLECTOR'S OFFICE,Collector Edwin H. Webster Deputy Collector Richard N. Bowerman Deputy Collector and Auditor James M. Mc Cormick Agents for Rosendale Cement
CLOSING OF MAILS,
MAILS DUE. MAILS CLOSE,"Temple Record and Corresponding Clerk H. Clay Adreon Miscellaneous Clerks D. F. Karsner, Franklin Lane, Louis A. Carl, George M. Ford, Geo W. Johnson, Samuel W.Raymond, Thomas S. Chappell Ganger AYm. H. Smith Measurer Victor Holmes &quot;Weigher Robert M. Smyth Supt. of Warehouses Leopold Blumenberg Storekeepers James H. Jarrett, Henry H Green, Thos. Goldsborough, Geo. Shaffer Rudolph Blumenberg, S. L. Booth, C. C DeGoey, J. C. Gilpin, B. Eggleston, J. B Barrett, John A. Cunningham, George E Taylor Boarding OfiBcer Henry S. Hunt Debenture Officer D. G. Martin"
NAVAL OFFICE,Naval Officer Wm. Smith Reese Deputy Naval Officer Wm. Corkran Warehouse Clerk Gilbert H. Cassard Liquidating Clerk Wesley Wiley Asst. Liquidating Clerk John W. Lanahan Manifest Entry Clerk Walter BalL Messenger George Krantz
SURVEYOR'S OFFICE,"Surveyor A. W. Bradford Deputy Surveyor- Robert Cathcart Clerks R. J.'B. Boggs, J. Bruff Messenger G. W. Shriver"
APPRAISER'S OFFICE,"Appraiser General John F. Meredith Appraisers Ephraira F. Anderson, Hooper C Hicks . Clerks Thomas P. Jenkins, Wm. F. Atwell J. R. King, J. R, Fellman"
EXAMINER OF DRUGS,J. Purviance Polk
SUPERINTENDENT OF BUILDING,« George Ellicott Messenger James P. Smith
ALMSHOUSE,"Trustees: Joshua Vansant, Pres't, Joseph Clarkson, Henry Snyder, George W. Bishop George Colton"
SCHEDULE OF,
STAMP DUTIES,
MODE OF CANCELLING STAMPS,"The person using or affixing the same shall write thereupon the initials of his name and the date upon which the same shall be attached or used, so that the stamp may not be again used No instrument shall be deemed or held in valid or of no effect for want of the particu lar kind or description of stamp designated for and denoting the duty charged on any such instrument, document, writing or paper; provided a legal stamp or Ptamjis denoting a duty of equal amount shall have been duly The GROVER &amp; BAKEB"
AGREEMENT,"or contract, for every ment"
BANK CHECK,"draft or order, at sight"
BILL OF EXCHANGE,"(inland, ) draft"
PROMISSORY NOTE,for a sum not
BILL OF EXCHANGE,not exceeding
BILL OF LADING,or receipt 10
BILL OF SALE,5
BOND,of any other description 25 gage
COUNTY,"City or Town Bonds, rail mortgage"
CERTIFICATE,of stock in any incor
CERTIFICATE,of 'deposit of any sum pany:
CHARTER PARTY,tonnage not ex
CONTRACT,"Broker's note, or mem"
CONVEYANCE,"Deed, instrument, or"
SEWING MACHINE,"is the (LIFE) exceeding Exceeding one tliousand dollars, and"
"INSURANCE (MARINE, INLAND",and
FIRE,) where premium does not ex Exceeding ten and not exceeding fifty
LEASE,of three hundred dollars per For every additional two hundred dol
MANIFEST,"for custom house entry or clearance, or cargo of any ship, ves sel or steamer, for a foreign port; If the registered tonnage of such ship vessel or steamer, does not exceed Exceeding three hundred tons, and not"
"MORTGAGR, TRUST DEED, BILL","OF SALE OR PERSONAL BOND exceeding one hundred dollars, and And for every additional five hundred dollars, or fractional part thereof, in"
POWER OF ATTORNEY,to transfer
POWER OF ATTORNEY OR PROXY,10
POWER OF ATTORNEY,to receive or
POWER OF ATTORNEY,to sell or
POWER OF ATTORNEY,for any oth
PROBATE OF WILL,not exceeding For every additional one thousand dol
PROTEST,25
RECEIPTS,"for the payment of any sum of money, or for the payment of any Warehouse receipt for property, goods wares, or merchandise, not exceed Exceeding in value five hundred dol lars, and not exceeding one thousand Exceeding in value one thousand dol lars, for every additional one thou Warehouse receipts for any goods, mer"
RENEWALS,"of charter party, con tract, or agreements, require the same stamp as the oritjinal instrument"
PROPRIETARY,"For and upon every packet, box, bottle, ^c, not exceed ing in value the sum of twenty-five Exceeding in value twenty-five cents Exceeding in value fifty cents, and not Exceeding the value of seventy-five Best for all purposes. Sales Room"
FRICTION MATCHES,Each parcel
PHOTOGRAPHS,Not exceeding the
PLAYING CARDS,When the retail
CANNED MEATS,"&amp;c. For and upon timore City October THE CIRCUIT COURTS OF MARYLAND First Judicial Circuit. Hon. Jas. A. Stew art, Chief Judge; Hon. J. R. Franklin and Hon. L. T. H. Irving, associates. Terms of Court ■ October day in January, April, July and October day in November March and September. Juries summoned to March and September terms and to other terms when a majority of the judges shall direct Second Judicial Circuit. Hon. J. M. Robin son, Chief Judge, and Hon. J. A. Wickes and Hon. Frederick Stump, associates. Terms of Court ■ October and November day in May and November April and October September Third Judicial Circuit Hon. Richard Gra son, Chief Judge. Hon. George Yellott and Hon. Alfred W. Bateman, associates. Terms of Court in August and Isl Monday in December ruary, May and November. &lt; Fourth Judicial Circuit Hon. Richard H Alvey, Chief Judge. Hon. William Motter and Hon. Thomas Perry, associates. Terms of Court • day in October Washington county. Hagerstown common ber Fifth Judicial Circuit. Hon. Oliver Miller Chief Judge. Hon. Edward Hammond and Hon. William M. Hayden, associates. Terms of Court in May and November Sixth Judicial Circuit. Hon. Madison Nel son, Chief Judge. Hon. Wm. ViersBouic and Hon John A. Lynch, associates. Terms of Court"
SMITH BROS,"&amp; CO., Tailors December solvent Debtors"
MARYLAND,"RiDGELY, Esq. James A. L. McClure, Assistant U. S. Marshall, Washington Bonifant. TJ S. Commissioners, Isaac Brooks, R. Lyon Rogers and J. S. Hanan, Esqs of April and November THE U. S. DISTRICT COURT. &quot;The Dis trict Court of the United States for Maryland District,&quot; Hon. Wm. Fell Giles, District Judfje [I^he oflScers of this Court are the same as the officers of the Circuit Court.] in March, June, September and December"
CONSULS AND VICE CONSULS,"South street wharf Prussia, Saxony, Bavaria, Wurtemberg, Baden Russia Aug. Kohler, Vice-Consul, over No street"
BANKS,
BULES OBSERVED BY,"The Banks are open every day in the year The Interest for Discount in the Banks in this Three days of grace are allowed, and the discount offered for discount must be delivered the day preceding lodged at the Banks for collection, when protested same pays the charge of protest. Deposits of money in the dealer's book at the time such deposit THE NATIONAL BANK OF BALTI"
MORE,"N. E. corner Baltimore and St. Paul Streets Henry A. Thompson, President J. Thomas Smith, Cashier directors H. A. Thompson, T. M. Smith W. Kennedy, Alex. Turnbull D. S. Wilson, C. M. Stewart Alex. F. Murdoch Discount Days, Tuesday and Friday. Divi in Januaiy street Gay street street Gay street Gay street"
BANKS IN THIS CITY,is made
NATIONAL UNION BANK OF MARYLAND,
J.'C,"Bridges, C. Oliver O'Oonnell"
FRANKLIN BANK,
C.J,"Bakee, President Chas. Goodwin, Cashier"
DIRKCTORS,"Chas. W. Lord, Robert Turner Benjamin Whitelj, G. H. Hunt J. H. Wilson, George Sanders Wm. Seemuller, S. Sprigg Belt Discount Days, Monday and Thursday Dividends, January and July. Election, April"
MARINE BANK,
JV. E,"corner of Gay and Second Streets B. A. ViCKERS, President Sam'l T. Shaw, Cashier DIRECTORS Geo. E. Bowdoin, Edward Jenkins George W. Hall, B. A. Vickers Samuel Kirby, Thomas Corner A. H. Jenkins, Samuel G. Miles Joshua Marsh Discount Days, Tuesday and Friday. Div idends, April and October. Election, April"
FARMERS' AND MERCHANTS' NA,
TIONAL BANK,"If. W. corner of Lombard and South Streets J. Hanson Tho.mas, President James Sloan, Jr., Cashier DIRECTORS D. B. Banks, J. Hanson Thomas J. R. Conway, F. B. Loney D. J. Foley, Otho H. Williams H. W. Archer Discount Day, Thursday. Dividends, Jan uary"
MERCHANTS' NATIONAL BANK,"S. W. corner of Gay and Second Streets Johns Hopkins, President D. Sprigo, Cashier DIRECTORS Ale.K. II. Stump, James I. Fisher W. II. Graham, Joseph Cushing, Jr John M. Orem, H. L. Whitridge Benj. F. Cator Discount Days, Tuesday and Friday. Div idends, July and January. Election, January J. HENBT GIESE &amp; CO"
NATIONAL MECHANICS' BANK,
COMMERCIAL AND FARMERS' NATION,"dends, May"
WESTERN NATIONAL BANK,
II. M,"Bash, G. II. Williams"
NATIONAL FARMERS' AND PLANTERS',
BANK,"South Street, between Baltimore and Second Enoch Pratt, President Richard Cornelius, Cashier DIRECTORS Thomas Whitridge, C. T. Boehm Samuel Mactier, Samuel Bevan James Hooper, jr. Laurence Thorasen Wm. Hopkins, Wm. Lamping D. L. Bartlett Discount Days, Monday and Thursday Dividends, January and July"
CITIZENS' NATIONAL BANK,"Corner of Hanover and Pratt Streets Capital $500,000 Henry James, President J. Wesley Guest, Cashier DIRECTORS Thos. Cassard, Geo. M. Bokee"
D.C,"Howell, Jas. A. Hooper Jno. R. Seemuller, Henry James Discount Days, Wednesday and Saturday Dividends, July and January"
HOWARD BANK,"N. W. Corner Howard and Fayette Streets Peter Kephart, President John G. Lester, Cashier DIRECTORS Aaron Hoffman, Peter Kephart Joseph Stine, TalbottDenmead R. Lawson, Henry Wirt, jr Caleb Kelly, B. T. Hynson John R. Cox, Thos. G. Evans Discount Day, Tuesday. Dividends, Febru ruary and August"
BANK OF COMMERCE,"James W. Alnutt, President John D. Smith, Cashier DIRECTORS Jas. W. Alnutt, Charles Webb Isaac M. Denson, Ed. J. Church T. H. Sullivan, J.F.Wiley Hugh Sisson Discount Days, Wednesday and Saturday"
PEOPLE'S BANK,"Corner of Baltimore and Paca Streets David Carson, President Jos. H. Cdrley, Cashier directors Jacob H.Taylor, E. A. Clabaugh Thos. J. Griffiss, Jas. A. Gary H. H. Chase Discount Day, Wednesday. Dividends, Feb ruary and August Agents for Eosendale Cement"
FIRST NATIONAL BANK OF BALTIMORE,
SECOND NATIONAL BANK OF BALTI,
MORE,and November
THIRD NATIONAL BANK OF BALTIMORE,
NATIONAL EXCHANGE BANK,
