street,extent
CITY OF BALTIMORE,
ABBOT,"Bond to Broadway, N of Chew"
ABEY AL,from Hamburg to Williamson al
ABRAHAM,from Harford av N of Monument
ADAMS,"'going west from Fremont, betw"
ADDISON,from High N of Hillen
AISQUITH,going N from 118 e Baltimore Baltimore Comet Jetferson Gay
AISQUITH CT,from Aisquith rear of Jackson
ALBEMARLE,going S from 11 Plowman
ALBERT AL,from Neighbor
ALLEN,"going S of Beason, E of Ludlow"
ALLEN'S AL,going E from 48 S Exeter
ALICEANNA,going east from East Fall av President Albemarle Exeter Eden Spring
ALLUVION,going east from Ridgely S of Ostend
"AMITY, (N)",from 702 W Baltimore
"AMITY, (S)",from 679 W Baltimore
ANDRE,"going south from Nicholson, E of Towson"
"ANN, (N)",going north from 332 E Baltimore to Northern av
"ANN, (S)",going S from 343 E Baltimore
ANTHONY,"from Eden to Caroline,S of Eager"
ANTHONY CT E,of Central av
ARBEL AL,"running south from Chew, be"
ARCADE AL,going west from 48 n Eutaw
ARCH,from 464 w Baltimore
ARCHER,from Columbia W of Scott
ARLINGTON PLACE,Laa vale betw Oregon and Fremont
ARMISTEAD LA,"from Johnson to Light, S of York"
"ARTESIAN, WATERING",and BALLAST
WHARF,foot of Hughes
ATLANTIC WHF,"foot of Patapsco, Canton"
BACK LA,"from S Charles, S of West"
BAKER,"from N Calhoun, N of Gold"
BAKER'S CT,from Rock
"BALTIMORE, (W)",going W from Jones' Falls
"BALTIMORE, (E)",going east from Jones'
BALDERSTON,"from Grant to Charles, S of Lombard"
BANK,going east from 92 s Exeter Choptank
BANKARD'S AL E,"from Fremont, between Columbia and Haw"
BANK LA,going west from 8 n Calvert
"BARCLAY, LITTLE",from Truxton
BARNES,from Bond to Broadway S of Eager
BARNET,going west from 52 N Charles
BARNEY,going east from Spring Gardens S of Heath
BARRANGER'S CT W,from 54 n Pine
BARRE,'going west from 154 Light-st. whf
SEWING MACHINE,is the
BARTLETT'S AL,from Chesnut
BARTON N,from Jail wall to Eager
BATTERY AV,"(formerly Lincoln,) south"
BAYARD,from James S of Wooster
BAYER AL,from 392 Canton av north to Eastern av
REAL'S CT,from 188 Orleans
BEAM'S LA,from Franklin W of Poppleton
BEASON,"going east from Ludlow, S of Cuba"
BEAUFORT,west from 42 N Calvert
BEDFORD AL,from Camden W of Charles
BELAIR AV,from Central av N of Gay ext
BELL A L,"from Davis, S of Centre"
BELT'S WHF,"Fell, S of Thames"
