street,seq,cross_street,left_no,right_no,page
AISQUITH,1,Baltimore,,,583
AISQUITH,2,Fayette,,,583
AISQUITH,3,Comet,,,583
AISQUITH,4,Jackson,,11,583
AISQUITH,5,Holland,,19,583
AISQUITH,6,Douglass,46,,583
AISQUITH,7,Mullikin,,,583
AISQUITH,8,Orleans,78,58,583
AISQUITH,9,Thompson,96,67,583
AISQUITH,10,Jefferson,,83,583
AISQUITH,11,Low,130,,583
AISQUITH,12,McElderry,150,123,583
AISQUITH,13,Edward,,137,583
AISQUITH,14,Gay,,141,583
AISQUITH,15,Monument,166,145,583
AISQUITH,16,Madison,200,177,583
AISQUITH,17,Chew,240,217,583
AISQUITH,18,Eager,298,257,583
AISQUITH,19,Stirling,324,,583
AISQUITH,20,Chase,,307,583
AISQUITH,21,Harford av,,329,583
AISQUITH,22,"COURTS, WHARVES, &amp;C",,,583
AISQUITH,23,THE,,,583
AISQUITH,24,FOR THIS EUJTION,,,583
AISQUITH,25,hand,,,583
AISQUITH,26,District Court of Maryland,,,583
AISQUITH,27,S South '^ -West,,,583
AISQUITH CT,1,son,,,583
ALBEMARLE,1,man,,,583
ALLEN,1,low,,,583
ALICE ANNA,1,Sof Canton av,,,583
ALICE ANNA,2,East Falls av,,,583
ALICE ANNA,3,President,,,583
ALICE ANNA,4,Albemarle,,,583
ALICE ANNA,5,Exeter,,,583
ALICE ANNA,6,Central av,,,583
ALICE ANNA,7,Eden,,,583
ALICE ANNA,8,Spring,,,583
ALICE ANNA,9,Carolme,,141,583
ALICE ANNA,10,Dallas,170,177,583
ALICE ANNA,11,Bond,182,195,583
ALICE ANNA,12,Bethel,198,215,583
ALICE ANNA,13,Broadway,212,225,583
ALICE ANNA,14,Regester,228,243,583
ALICE ANNA,15,Ann,254,,583
ALICE ANNA,16,Durham,254,275,583
ALICE ANNA,17,Wolfe,384,392,583
ALICE ANNA,18,Washington,304,,583
ALICE ANNA,19,Castle,318,,583
ALICE ANNA,20,Chester,338,,583
ALICE ANNA,21,To East av,,,583
"ANN, (S)",1,Baltimore,2,1,584
"ANN, (S)",2,Lombard,36,23,584
"ANN, (S)",3,Pratt,64,61,584
"ANN, (S)",4,Gough,120,115,584
"ANN, (S)",5,Bank,,141,584
"ANN, (S)",6,Eastern av,184,165,584
"ANN, (S)",7,Canton av,224,205,584
"ANN, (S)",8,Aliceanna,246,229,584
"ANN, (S)",9,Lancaster,282,263,584
"ANN, (S)",10,Thames,,269,584
ATLANTIC WHF,1,B,,,584
"BALTIMORE, (W)",1,Jones Falls,,2,584
"BALTIMORE, (W)",2,Centre Market space,21,,584
"BALTIMORE, (W)",3,Harrison,,22,584
"BALTIMORE, (W)",4,Frederick,41,52,584
"BALTIMORE, (W)",5,Gay,61,70,584
"BALTIMORE, (W)",6,Holiday,,102,584
"BALTIMORE, (W)",7,South,115,,584
"BALTIMORE, (W)",8,North,,120,584
"BALTIMORE, (W)",9,Calvert,151,152,584
"BALTIMORE, (W)",10,Grant,169,,584
"BALTIMORE, (W)",11,Light,1853,,584
"BALTIMORE, (W)",12,St. Paul,,188,584
"BALTIMORE, (W)",13,Charles,229,230,584
"BALTIMORE, (W)",14,Hanover,263,,584
"BALTIMORE, (W)",15,McClellan's al,,284,584
