street,seq,cross_street,left_no,right_no,page
"BALTIMORE, (W)",16,Sharp,294,289,584
"BALTIMORE, (W)",17,Liberty,301,302,584
"BALTIMORE, (W)",18,Howard,327,328,584
"BALTIMORE, (W)",19,Eutaw,356,363,584
"BALTIMORE, (W)",20,Paca,391,382,584
"BALTIMORE, (W)",21,Greene,425,422,584
"BALTIMORE, (W)",22,Pearl,,442,584
"BALTIMORE, (W)",23,Pine,505,512,584
"BALTIMORE, (W)",24,Fremont,559,572,584
"BALTIMORE, (W)",25,Callendar al,639,,584
"BALTIMORE, (W)",26,Poppleton,657,680,584
"BALTIMORE, (W)",27,Amity,679,704,584
"BALTIMORE, (W)",28,Schroeder,705,724,584
"BALTIMORE, (W)",29,Oregon,739,,584
"BALTIMORE, (W)",30,Republican,783,408,584
"BALTIMORE, (W)",31,Carey,827,,584
"BALTIMORE, (W)",32,Calhoun,859,828,584
"BALTIMORE, (W)",33,Strieker,,868,584
"BALTIMORE, (W)",34,Gilmor,,906,584
"BALTIMORE, (W)",35,Mount,955,948,584
"BALTIMORE, (W)",36,To Calverton road,,,584
"BALTIMORE, (W)",37,Jones Falls,2,1,584
"BALTIMORE, (W)",38,Front,14,15,584
"BALTIMORE, (W)",39,High,42,45,584
"BALTIMORE, (W)",40,Temple,54,,584
"BALTIMORE, (W)",41,Exeter,60,73,584
"BALTIMORE, (W)",42,East,86,,584
"BALTIMORE, (W)",43,Lloyd,,101,584
"BALTIMORE, (W)",44,Aisquith,118,,584
"BALTIMORE, (W)",45,Central av,154,159,584
"BALTIMORE, (W)",46,Eden,164,179,584
"BALTIMORE, (W)",47,Spring,186,201,584
"BALTIMORE, (W)",48,Caroline,206,223,584
"BALTIMORE, (W)",49,Dallas,220,237,584
"BALTIMORE, (W)",50,Bond,242,253,584
"BALTIMORE, (W)",51,Bethel,266,273,584
"BALTIMORE, (W)",52,Broadway,288,299,584
"BALTIMORE, (W)",53,Regester,314,323,584
"BALTIMORE, (W)",54,Ann,332,341,584
"BALTIMORE, (W)",55,Wolfe,364,,584
"BALTIMORE, (W)",56,Chapel,,,584
"BALTIMORE, (W)",57,Washington,,,584
"BALTIMORE, (W)",58,Chester,438,,584
"BALTIMORE, (W)",59,Choptank,472,475,584
"BALTIMORE, (W)",60,Gist,,505,584
"BALTIMORE, (W)",61,To East av,,,584
BANK,1,Exeter,4,1,584
BANK,2,Central av,,25,584
BANK,3,Eden,18,33,584
BANK,4,Spring,44,55,584
BANK,5,Caroline,,63,584
BANK,6,Dallas,68,79,584
BANK,7,Bond,72,85,584
BANK,8,Bethel,82,,584
BANK,9,Broadway,,101,584
BANK,10,Regester,110,119,584
BANK,11,Ann,,139,584
BANK,12,Durham,148,155,584
BANK,13,Wolfe,166,167,584
BANK,14,Chapel,186,185,584
BANK,15,Washington,,206,584
BANK,16,Castle,,238,584
BANK,17,Chester,,380,584
BANK,18,To East av,,,584
BARRE,1,Light-st. wharf,2,1,584
BARRE,2,Charles,34,35,584
BARRE,3,Hanover,48,57,584
BARRE,4,Sharp,84,71,584
BARRE,5,Howard,,,584
BARRE,6,Eutaw,110,,584
BARRE,7,L. Greene,132,129,584
BARRE,8,Warner,,181,584
BARRE,9,Fremont,236,,584
"BETHEL, (N)",1,Baltimore,2,1,585
"BETHEL, (N)",2,Hampstead,,,585
"BETHEL, (N)",3,Fayette,,,585
"BETHEL, (N)",4,Milliken,97,,585
"BETHEL, (N)",5,Orleans,107,108,585
"BETHEL, (N)",6,Jefferson,147,,585
"BETHEL, (N)",7,Walker,,,585
"BETHEL, (N)",8,McElderry,143,,585
"BETHEL, (N)",9,Monument,,,585
"BETHEL, (N)",10,Milliman,,,585
"BETHEL, (N)",11,Madison,,,585
"BETHEL, (S)",1,Baltimore,2,,585
"BETHEL, (S)",2,Lombard,,27,585
"BETHEL, (S)",3,Pratt,64,61,585
"BETHEL, (S)",4,Gough,,129,585
"BETHEL, (S)",5,Bank,130,,585
"BETHEL, (S)",6,Bethel,,161,585
"BETHEL, (S)",7,Eastern av,158,169,585
"BETHEL, (S)",8,Canton av,182,189,585
"BETHEL, (S)",9,Aliceanna,,223,585
"BETHEL, (S)",10,Lancaster,226,249,585
"BETHEL, (S)",11,Sliakspeare,,,585
"BIDDLE, (W)",1,Jones' Falls,,,585
"BIDDLE, (W)",2,Belvidere,,,585
"BIDDLE, (W)",3,Hunter,,,585
"BIDDLE, (W)",4,Calvert,,,585
"BIDDLE, (W)",5,St. Paul,,,585
"BIDDLE, (W)",6,Morton,,,585
"BIDDLE, (W)",7,Decker,,,585
"BIDDLE, (W)",8,Cathedral,,,585
"BIDDLE, (W)",9,Grundy,,21,585
"BIDDLE, (W)",10,Bolton,,55,585
"BIDDLE, (W)",11,Garden,,87,585
"BIDDLE, (W)",12,Eutaw,,115,585
"BIDDLE, (W)",13,Morris al,,135,585
"BIDDLE, (W)",14,Madison av,140,143,585
"BIDDLE, (W)",15,McCulloh,,153,585
"BIDDLE, (W)",16,Little Monument,172,,585
"BIDDLE, (W)",17,Ross,182,183,585
"BIDDLE, (W)",18,Elder al,190,,585
"BIDDLE, (W)",19,Tessier,234,,585
"BIDDLE, (W)",20,Biddle al,,,585
"BIDDLE, (W)",21,Pennsylvania av,,,585
"BIDDLE, (W)",22,Walsh,,,585
"BIDDLE, (W)",23,George,272,295,585
BIRCKHEAD'S CT,1,Lexington,,,585
BOLTON AL,1,Penna. av,,,585
"BOND, (N)",1,more,,,585
"BOND, (N)",2,Baltimore,2,1,585
"BOND, (N)",3,Hampstead,30,,585
"BOND, (N)",4,Fayette,66,63,585
"BOND, (N)",5,Mullikin,100,,585
"BOND, (N)",6,Orleans,110,87,585
"BOND, (N)",7,Jefferson,,113,585
"BOND, (N)",8,Walker,,133,585
"BOND, (N)",9,McElderry,,211,585
"BOND, (N)",10,Monument,,,585
"BOND, (N)",11,Milliman,208,,585
"BOND, (N)",12,Madison,228,,585
"BOND, (N)",13,Willow,,,585
"BOND, (N)",14,Chew,,,585
"BOND, (N)",15,Abbott,,219,585
"BOND, (N)",16,Barnes,,237,585
"BOND, (N)",17,Eager,,257,585
"BOND, (N)",18,To Northern av,,,585
"BOND,(S)",1,Baltimore,2,1,585
"BOND,(S)",2,Lombard,38,,585
"BOND,(S)",3,Pratt,82,77,585
"BOND,(S)",4,Gough,140,125,585
"BOND,(S)",5,Bank,180,157,585
"BOND,(S)",6,Eastern av,216,197,585
"BOND,(S)",7,Canton av,242,231,585
"BOND,(S)",8,Aliceanna,266,265,585
"BOND,(S)",9,Lancaster,302,287,585
"BOND,(S)",10,Thames,,353,585
"BROADWAY, (N)",1,Baltimore,2,,585
"BROADWAY, (N)",2,Hampstead,,,586
"BROADWAY, (N)",3,Fayette,56,67,586
"BROADWAY, (N)",4,Mullikin,66,85,586
"BROADWAY, (N)",5,Orleans,,,586
"BROADWAY, (N)",6,Walker,,,586
"BROADWAY, (N)",7,Monument,204,,586
"BROADWAY, (N)",8,To Northern av,,,586
"BROADWAY, (S)",1,Baltimore,2,1,586
"BROADWAY, (S)",2,Lombard,24,37,586
"BROADWAY, (S)",3,Pratt,54,,586
"BROADWAY, (S)",4,Gough,96,103,586
"BROADWAY, (S)",5,Bank,114,,586
"BROADWAY, (S)",6,Eastern av,148,149,586
"BROADWAY, (S)",7,Canton av,182,179,586
"BROADWAY, (S)",8,Aliceanna,220,207,586
"BROADWAY, (S)",9,Shakspeare,,249,586
"BROADWAY, (S)",10,Lancaster,258,239,586
"BROADWAY, (S)",11,Thames,274,253,586
BYRD,1,C,,,586
CALVERT (N.),1,Baltimore,4,,586
CALVERT (N.),2,Fayette,12,13,586
CALVERT (N.),3,Lexington,26,27,586
CALVERT (N.),4,Saratoga,,57,586
CALVERT (N.),5,Pleasant,80,81,586
CALVERT (N.),6,Mulberry,92,,586
CALVERT (N.),7,Foundry,,103,586
CALVERT (N.),8,Franklin,138,,586
CALVERT (N.),9,Centre,,,586
CALVERT (N.),10,Monument,,101,586
CALVERT (N.),11,Madison,190,,586
CALVERT (N.),12,Read,214,,586
CALVERT (N.),13,Eager,,,586
CALVERT (S-),1,Baltimore,1,4,586
CALVERT (S-),2,Mercer,,26,586
CALVERT (S-),3,Water,37,30,586
CALVERT (S-),4,Lombard,45,44,586
CALVERT (S-),5,Matthews,46,,586
CALVERT (S-),6,Pratt,72,,586
CAMDEN,1,Light-st. wharf,,,586
CAMDEN,2,Charles,18,,586
CAMDEN,3,Hanover,42,,586
CAMDEN,4,Sharp,80,75,586
CAMDEN,5,Howard,100,101,586
CAMDEN,6,Eutaw,,125,586
CAMDEN,7,Paca,150,147,586
CAMEL AL,1,Burke,,,586
CANTON,1,Potomac,,,586
CANTON AV,1,Jones Falls,2,,586
CANTON AV,2,Albemarle,,11,586
CANTON AV,3,Exeter,,,586
CANTON AV,4,Central av,,,586
CANTON AV,5,Eden,168,,586
CANTON AV,6,Spring,,,586
CANTON AV,7,Caroline,184,191,586
CANTON AV,8,Dallas,196,201,586
CANTON AV,9,Bond,208,209,586
CANTON AV,10,Bethel,228,229,586
CANTON AV,11,Broadway,246,251,586
CANTON AV,12,Regester,264,263,586
CANTON AV,13,Ann,278,291,586
CANTON AV,14,V/olfe,316,325,586
CANTON AV,15,Chapel,332,345,586
CANTON AV,16,Washington,346,365,586
CANTON AV,17,Chester,380,411,586
CANTON AV,18,Choptank,414,,586
CANTON AV,19,Essex,,421,586
CANTON AV,20,Gist,464,439,586
CANTON AV,21,Burke,,,586
CANTON AV,22,Cannon,,547,586
CANTON AV,23,East av,,,586
CAROLINE. (N.),1,Baltimore,2,1,586
CAROLINE. (N.),2,Hampstead,18,19,586
CAROLINE. (N.),3,Fayette,,,586
CAROLINE. (N.),4,Holland,50,,586
CAROLINE. (N.),5,MuUikin,80,79,586
CAROLINE. (N.),6,Orleans,89,93,586
CAROLINE. (N.),7,McElderry,164,149,586
CAROLINE. (N.),8,Monument,230,,586
CAROLINE. (N.),9,Madison,228,183,587
CAROLINE. (N.),10,Chew,254,213,587
CAROLINE. (N.),11,Gay,,,587
CAROLINE. (N.),12,Anthony,242,,587
CAROLINE. (N.),13,Eager,,255,587
CAROLINE. (N.),14,Chase,290,389,587
CAROLINE. (N.),15,Biddle,312,,587
CAROLINE. (N.),16,Northern av,,,587
CAROLINE (S.),1,Baltimore,2,1,587
CAROLINE (S.),2,Lombard,30,23,587
CAROLINE (S.),3,Pratt,66,51,587
CAROLINE (S.),4,Gough,132,,587
CAROLINE (S.),5,Bank,,131,587
CAROLINE (S.),6,Eastern av,208,165,587
CAROLINE (S.),7,Canton av,,195,587
CAROLINE (S.),8,Aliceanna,256,255,587
CAROLINE (S.),9,Lancaster,292,,587
CAROLINE (S.),10,Thames,,354,587
CATHEDRAL,1,Mulberry,2,,587
CATHEDRAL,2,Franklin,,,587
CATHEDRAL,3,Hamilton,18,,587
CATHEDRAL,4,Centre,34,15,587
CATHEDRAL,5,Monument,50,,587
CATHEDRAL,6,Madison,70,,587
CATHEDRAL,7,Richmond,86,,587
CATHEDRAL,8,Read,,,587
CATHEDRAL,9,Tyson,102,,587
CATHEDRAL,10,Eager,,61,587
CATHEDRAL,11,Tyson,148,,587
CATHEDRAL,12,Chase,,111,587
CATHEDRAL,13,Howard,,,587
CATHEDRAL,14,Biddle,,141,587
CATHEDRAL,15,John,,147,587
CATHEDRAL,16,Preston,,327,587
CATHEDRAL,17,Hoffman,,221,587
CATHEDRAL,18,Dolphin,,359,587
CATHEDRAL,19,To Northern av,,,587
CENTRAL AV (N.),1,Baltimore,,,587
CENTRAL AV (N.),2,Hampstead,2,1,587
CENTRAL AV (N.),3,Fayette,34,,587
CENTRAL AV (N.),4,Jackson,,,587
CENTRAL AV (N.),5,Holland,40,41,587
CENTRAL AV (N.),6,May,,43,587
CENTRAL AV (N.),7,Mullikin,68,,587
CENTRAL AV (N.),8,Orleans,82,75,587
CENTRAL AV (N.),9,Jefferson,108,107,587
CENTRAL AV (N.),10,McElderry,154,147,587
CENTRAL AV (N.),11,Edward,168,,587
CENTRAL AV (N.),12,Monument,,195,587
CENTRAL AV (N.),13,Gay,,,587
CENTRAL AV (N.),14,Madison,188,135,587
CENTRAL AV (N.),15,St. James,202,,587
CENTRAL AV (N.),16,Chew,,265,587
CENTRAL AV (N.),17,Eager,254,289,587
CENTRAL AV (N.),18,Chase,300,,587
CENTRAL AV (N.),19,To Hoffman,,,587
CENTRAL AV (S.),1,Baltimore,2,1,587
CENTRAL AV (S.),2,Watson,,13,587
CENTRAL AV (S.),3,Lombard,44,,587
CENTRAL AV (S.),4,Granby,,,587
CENTRAL AV (S.),5,Pratt,84,,587
CENTRAL AV (S.),6,Stiles,,,587
CENTRAL AV (S.),7,Gough,128,,587
CENTRAL AV (S.),8,Fawn,,,587
CENTRAL AV (S.),9,Bank,164,161,587
CENTRAL AV (S.),10,To Lancaster,,,587
"CENTRE, (W)",1,Jones Falls,,,587
"CENTRE, (W)",2,Holiday,,1,587
"CENTRE, (W)",3,North,2,23,587
"CENTRE, (W)",4,Davis,,,587
"CENTRE, (W)",5,Calvert,48,51,587
"CENTRE, (W)",6,St.. Paul,60,67,587
"CENTRE, (W)",7,Charles,78,,587
"CENTRE, (W)",8,Cathedral,,,587
"CENTRE, (W)",9,Plover al,,,587
"CENTRE, (W)",10,Park,,,587
"CENTRE, (W)",11,Howard,100,,587
"CENTRE, (E)",1,Jones Falls,1,2,587
"CENTRE, (E)",2,"French, or N Front",,,587
CHARLES (N.),1,Baltimore,2,,587
CHARLES (N.),2,Fayette,12,,587
CHARLES (N.),3,Lexington,32,,587
CHARLES (N.),4,Barnet,52,,587
CHARLES (N.),5,Saratoga,,55,587
CHARLES (N.),6,Pleasant,86,85,587
CHARLES (N.),7,Mulbery,,101,587
CHARLES (N.),8,Franklin,,,587
CHARLES (N.),9,Hamilton,124,123,587
CHARLES (N.),10,Centre,154,131,587
CHARLES (N.),11,Mount Vernon place,,147,587
CHARLES (N.),12,Madison,,183,587
CHARLES (N.),13,Read,,,587
CHARLES (N.),14,Eager,240,233,587
CHARLES (N.),15,To Northern av,,,587
CHARLES (S.),1,Baltimore,1,,587
CHARLES (S.),2,German,,14,587
CHARLES (S.),3,Lombard,45,46,587
CHARLES (S.),4,Balderston,55,,587
CHARLES (S.),5,Pratt,,84,587
CHARLES (S.),6,Camden,101,,587
CHARLES (S.),7,Conway,,124,587
CHARLES (S.),8,Barre,155,160,587
CHARLES (S.),9,Lee,185,,587
CHARLES (S.),10,York,201,194,587
CHARLES (S.),11,Hill,213,210,587
CHARLES (S.),12,Hughes,233,232,588
CHARLES (S.),13,Montgomery,,250,588
CHARLES (S.),14,Henrietta,271,281,588
CHARLES (S.),15,',,320,588
CHARLES (S.),16,Hamburg,309,,588
CHARLES (S.),17,Ferry,,,588
CHESTER,1,Castle al,,,588
CHEW,1,Harford av,2,1,588
CHEW,2,Ensor,,11,588
CHEW,3,Stirling,38,37,588
CHEW,4,Aisquith,52,51,588
CHEW,5,Somerset,68,69,588
CHEW,6,Central av,92,95,588
CHEW,7,Eden,118,109,588
CHEW,8,Gay,130,,588
CHEW,9,Spring,,111,588
CHEW,10,Caroline,,135,588
CHEW,11,To East av,,,588
COLLIN 'S CT,1,Paca,,1,588
COLLIN 'S CT,2,Greene,,37,588
COLLIN 'S CT,3,Emory,,75,588
COLLIN 'S CT,4,Fremont,122,137,588
COLLIN 'S CT,5,Sterrett,168,199,588
COLLIN 'S CT,6,Scott,,235,588
COLLIN 'S CT,7,Wyeth,224,,588
COLLIN 'S CT,8,Walker,240,,588
COLLIN 'S CT,9,Parkin,248,,588
COLLIN 'S CT,10,Poppleton,,347,588
COLLIN 'S CT,11,Amity,,367,588
COLLIN 'S CT,12,Cross,,,588
COMET,1,ette,,,588
COMMERCE,1,place,,,588
COMMERCIAL WHF,1,Thames,,,588
CONCORD,1,space,,,588
CONWAY,1,E Left. Right,,,588
CORNER'S WHF S,1,wharf,,,588
COURT HOUSE LA,1,S of ington,,,588
COURT HOUSE LA,2,Lexington,,,588
COURT HOUSE LA,3,Saratoga,,19,588
COURT HOUSE LA,4,Pleasant,36,,588
COURT HOUSE LA,5,Mulberry,52,49,588
COURT HOUSE LA,6,Franklin,76,75,588
COURT HOUSE LA,7,"Lexington, W of Fremont",,,588
CYPRESS AL,1,D,,,588
DALLAS (N),1,Baltimore,2,1,588
DALLAS (N),2,Hampstead,14,19,588
DALLAS (N),3,Fayette,,49,588
DALLAS (N),4,Mullikin,54,,588
DALLAS (N),5,Orleans,64,85,588
DALLAS (S),1,Baltimore,2,1,589
DALLAS (S),2,Lombard,44,33,589
DALLAS (S),3,Pratt,78,69,589
DALLAS (S),4,Gough,134,133,589
DALLAS (S),5,Bank,154,155,589
DALLAS (S),6,Eastern av,188,189,589
DALLAS (S),7,Canton av,228,221,589
DALLAS (S),8,Aliceanna ^,254,245,589
DALLAS (S),9,Lancaster,,277,589
DUNCAN AL,1,Chester,,,589
DURHAM (S),1,Baltimore,2,1,589
DURHAM (S),2,Lombard,,29,589
DURHAM (S),3,Pratt,70,65,589
DURHAM (S),4,Gough,152,141,589
DURHAM (S),5,Bank,180,171,589
DURHAM (S),6,Eastern av,210,211,589
DURHAM (S),7,Canton av,234,243,589
DURHAM (S),8,Aliceanna,,275,589
DURHAM (S),9,Lancaster,,,589
DURST AL,1,E,,,589
EAGER (E),1,Jones Falls,,,589
EAGER (E),2,Constitution,42,41,589
EAGER (E),3,Greenmount av,,,589
EAGER (E),4,McKim,,,589
EAGER (E),5,Spring,,,589
EAGER (E),6,Caroline,,,589
EAGER (E),7,Bel Air avenue,,,589
EAGER (E),8,Dallas,,,589
EAGER (E),9,Bethel,,,589
EAGER (E),10,To East av,,,589
EAST FALLS AV,1,Pratt,,,589
EAST AV,1,McElderry 's whf,,,589
EAST AV,2,Mill,,,589
EAST AV,3,Concord,,,589
EAST AV,4,West Falls av,,,589
EAST AV,5,East Falls av,16,,589
EAST AV,6,President,24,21,589
EAST AV,7,Albemarle,56,,589
EAST AV,8,High,58,,589
EAST AV,9,Exeter,82,89,589
EAST AV,10,Central av,,115,589
EAST AV,11,Eden,133,,589
EAST AV,12,Spring,142,157,589
EAST AV,13,Carohne,162,179,589
EAST AV,14,Dallas,179,193,589
EAST AV,15,Bond,186,209,589
EAST AV,16,Bethel,,,589
EAST AV,17,Broadway,100,,589
EAST AV,18,Regester,228,255,589
EAST AV,19,Ann,252,281,589
EAST AV,20,Durham,266,287,589
EAST AV,21,Wolfe,290,299,589
EAST AV,22,Chapel,,315,589
EAST AV,23,Washington,322,,589
EAST AV,24,Castle,,350,589
EAST AV,25,East av,,,589
EDEN (N),1,Baltimore,6,1,589
EDEN (N),2,Hampstead,14,15,589
EDEN (N),3,Fayette,40,,589
EDEN (N),4,Holland,,53,589
EDEN (N),5,May,66,71,589
EDEN (N),6,Mullikin,80,87,589
EDEN (N),7,Orleans,100,105,589
EDEN (N),8,Jefferson,140,141,589
EDEN (N),9,McElderry,182,169,589
EDEN (N),10,Monument,216,211,589
EDEN (N),11,Madison,,245,589
EDEN (N),12,Gay,238,,589
EDEN (N),13,Chew,,,589
EDEN (N),14,Anthony,,263,589
EDEN (N),15,To Northern av,,,589
EDEN (S),1,Baltimore,4,5,589
EDEN (S),2,Lombard,,35,589
EDEN (S),3,Bank,150,150,590
EDEN (S),4,av,176,,590
EDEN (S),5,Lancaster,,,590
ENSOR,1,Mary's,,,590
ENSOR,2,Northern av,,,590
EUTAW (S),1,Ostend,,,590
EUTAW (S),2,State,,,590
EUTAW (S),3,Franklin,,,590
EUTAW PLACE,1,Dolphin,,,590
EXCHANGE AL,1,ond,,,590
EXETER,1,Baltimore,,1,590
EXETER,2,Watson,2,3,590
EXETER,3,Lombard,22,29,590
EXETER,4,Granby,34,45,590
EXETER,5,Pratt,44,,590
EXETER,6,Stiles,60,,590
EXETER,7,Fawn,78,93,590
EXETER,8,Bank,94,113,590
EXETER,9,Trinity,104,119,590
EXETER,10,Eastern av,,135,590
EXETER,11,F,,,590
PAYETTE,1,Falls,2,1,590
PAYETTE,2,Paul,68,57,590
PAYETTE,3,al,94,,590
PAYETTE,4,Calverton Road,,,590
FAYETTE (E),1,Jones Falls,2,1,591
FAYETTE (E),2,Front,14,17,591
FAYETTE (E),3,High,28,35,591
FAYETTE (E),4,Temple,39,,591
FAYETTE (E),5,Exeter,50,47,591
FAYETTE (E),6,Chesnut,68,,591
FAYETTE (E),7,East,76,73,591
FAYETTE (E),8,Comet,,,591
FAYETTE (E),9,Aisquitb,102,113,591
FAYETTE (E),10,Central av,166,177,591
FAYETTE (E),11,Eden,,183,591
FAYETTE (E),12,Spring,,197,591
FAYETTE (E),13,Caroline,208,219,591
FAYETTE (E),14,Dallas,218,237,591
FAYETTE (E),15,Bond,238,257,591
FAYETTE (E),16,Bethel,268,281,591
FAYETTE (E),17,Broadway,280,297,591
FAYETTE (E),18,Regester,,,591
FAYETTE (E),19,Ann,336,,591
FAYETTE (E),20,Wolfe,,375,591
FAYETTE (E),21,Chapel,,407,591
FAYETTE (E),22,Washington,,429,591
FAYETTE (E),23,To East av,,,591
FRANKLIN,1,Falls,,,591
FRANKLIN,2,»,,,591
FRANKLIN,3,Paul,26,23,591
FRANKLIN,4,Cathedral,64,51,591
FRANKLIN,5,Park,82,65,591
FRANKLIN,6,Howard,100,91,591
FRANKLIN,7,Eutaw,124,117,591
FRANKLIN,8,Jasper,138,129,591
FRANKLIN,9,Paca,152,143,591
FRANKLIN,10,Pearl,172,179,591
FRANKLIN,11,Pine,212,237,591
FRANKLIN,12,Chatsworth,232,255,591
FRANKLIN,13,Ogston,,301,591
FRANKLIN,14,Brune,,339,591
FRANKLIN,15,Fremont,348,373,591
FRANKLIN,16,Poppleton,352,,591
FRANKLIN,17,Schroeder,394,,591
FRANKLIN,18,Oregon,480,,591
FRANKLIN,19,To Northern av,,,591
FREDERICK ;N),1,Baltimore,,,591
FREDERICK (S),1,timore,,,591
FREDERICK AV,1,Calverton road,,,591
FREMONT (S),1,Baltimore,,,591
FREMONT (S),2,German,16,,591
FREMONT (S),3,Hollins,,19,591
FREMONT (S),4,Lombard,,27,591
FREMONT (S),5,King,,,591
FREMONT (S),6,Pratt,,,591
FREMONT (S),7,McHenry,,77,591
FREMONT (S),8,Haw,108,,591
FREMONT (S),9,Ramsay,,,591
FREMONT (S),10,Columbia,,117,591
FREMONT (S),11,Eislen •,148,133,591
FREMONT (S),12,To Eutaw,,,591
FRONT (N),1,Baltimore,1,8,591
FRONT (N),2,Fayette,15,14,591
FRONT (N),3,Low,,100,591
FRONT (N),4,Gay,93,130,591
FRONT (N),5,Hillen,129,156,591
FRENCH,1,Foundry,2,1,591
FRENCH,2,High,52,41,591
FRENCH,3,Constitution,62,61,591
FRENCH,4,Exeter,72,67,591
FRENCH,5,Chesnut,102,89,591
FRENCH,6,East,142,103,591
FRENCH,7,Forrest,158,115,591
GARDEN,1,Monument,2,1,592
GARDEN,2,Madison *,26,23,592
GARDEN,3,Biddle,16,121,592
GARDEN,4,Rose,,,592
GARDEN,5,Preston,50,163,592
GARDEN,6,Hoffman,,,592
GARDEN,7,Dolphin,,217,592
GARDEN,8,To iSTorthern av,,,592
"GAY, (N)",1,Baltimore,2,1,592
"GAY, (N)",2,Fayette,18,19,592
"GAY, (N)",3,Frederick,,63,592
"GAY, (N)",4,Saratoga,58,,592
"GAY, (N)",5,Harrison,,79,592
"GAY, (N)",6,Front,108,101,592
"GAY, (N)",7,High,140,131,592
"GAY, (N)",8,Exeter,170,,592
"GAY, (N)",9,Chesnut,,169,592
"GAY, (N)",10,East,202,,592
"GAY, (N)",11,Forrest,226,231,592
"GAY, (N)",12,Mott,240,,592
"GAY, (N)",13,Aisquith,,341,592
"GAY, (N)",14,Monument,330,355,592
"GAY, (N)",15,Central av,,,592
"GAY, (N)",16,Madison,,397,592
"GAY, (N)",17,Eden,,415,592
"GAY, (N)",18,Chew,,447,592
"GAY, (N)",19,Caroline,,473,592
"GAY, (N)",20,Dallas,,,592
"GAY, (N)",21,Bond,,507,592
"GAY, (N)",22,Broadway,,,592
"GAY, (S)",1,Baltimore,1,2,592
"GAY, (S)",2,Second,,,592
"GAY, (S)",3,Lombard,,46,592
"GAY, (S)",4,Pratt,67,,592
GEORGE,1,Charles,1,2,592
GEORGE,2,Hanover,17,20,592
GEORGE,3,Sharp,35,38,592
GEORGE,4,Liberty,39,,592
GEORGE,5,Howard,49,42,592
GEORGE,6,Eutaw,,66,592
