ward,white,free_colored,slave,black_total,aggregate,black_pct
1,13483,1091,79,1170,14653,7.98
2,8490,917,85,1002,9492,10.56
3,9764,1862,195,2057,11821,17.4
4,6611,766,250,1016,7627,13.32
5,4430,1198,84,1282,5712,22.44
6,6766,2145,104,2249,9015,24.95
7,6590,1013,57,1070,7660,13.97
8,8125,750,78,828,8953,9.25
9,4268,333,139,472,4740,9.96
10,4196,596,241,837,5033,16.63
11,6593,2078,252,2330,8923,26.11
12,7214,1911,158,2069,9283,22.29
13,4495,807,264,1071,5566,19.24
14,6013,1221,177,1398,7411,18.86
15,7753,2242,307,2549,10302,24.74
16,4555,1189,134,1323,5878,22.51
17,7389,2400,45,2445,9834,24.86
18,10644,934,168,1102,11746,9.38
19,7095,717,63,780,7875,9.9
20,6192,1272,66,1338,7530,17.77
