ward,value,dwellings,improvements,value_per_dwelling
1,544300,388,24,1403
2,151725,60,56,2529
3,54750,28,43,1955
4,54300,17,12,3194
5,39900,39,43,1023
6,268450,190,54,1413
7,468900,270,52,1737
8,216950,158,20,1373
9,377050,36,27,10474
10,399150,32,60,12473
11,376650,56,32,6726
12,825050,156,26,5289
13,95700,54,39,1772
14,51400,28,37,1836
15,163050,47,23,3469
16,179350,130,37,1380
17,218450,200,14,1092
18,681200,392,50,1738
19,807050,285,17,2832
20,641900,270,30,2377
