street,extent
ST. MARY'S CT,from 11 Pennsylvania av
ST. PAUL,going north from 186 Baltimore Lexington Balti- Franklin Read Kager
ST. PETER,"from S Paca to Parkin, S of Columbia"
ST. PETER AL,"from Parkin, S of Col umbia"
SWAN,"from Jones Falls to Centre Market space, S of Baltimore"
SWAN AL,between S Bethel and S Bond Balti
TEMPLE,from 54 E Baltimore
TENPIN AL,"from Spring, near Baltimore"
TESSIER,going W from 106 St. Mary's
THAMES,"going E from Philpot, S of Lan caster"
THIRD,from Cross to Randall
THOMPSON,going west from Fremont
THOMPSON AL,"from Fremont, N of Lom bard"
THOMSEN,"from Forrest to Aisquith, N of S of Orleans"
TOONE,"goingeast from Boston, S of Ellicott"
TOWSON,"going south from Cox, E of Hull"
TRINITY,going east from 78 Albemarle
TRIPOLETT'S AL,going south from 81 W Baltimore
TRUXTON,"from Jones Falls, N of Peniten E tiary"
TYSON,(formerly Lerew's al) going from Saratoga
TYSON,going south from 148 Cathedral
TYSON AL,"from Richmond, E of Howard"
UHLER'S AL,From Hanover to Charles N of Pratt
ULICK AL,"from Caroline to Spring, S of Pratt"
UMON AL,from 35 N Central av to Caro line
UNION,from 109 Pennsylvania av
UNION SQUARE,"bounded by Gilmor Strieker, Hoilins and Lombard"
UMON WHF,from Eastern av to Basin
UPTON,"from Townsend, E of Fremont"
UPTON PARK,"from George, betw Chats worth and Fremont"
VALLEY,from 33 Neighbour
VINE,going west from 17 Arch W
WAESCHE,"from Saratoga, E of Fremont"
WAGON AL,going west from 69 N Amity
WALKER,from 240 Columbia
WALKER'S CT,"from Bond, S of McEl d(?rry"
WALL,"from Dugan's wharf, S of Pratt"
WALNUT AL,from Pear al. to Ross
WALSH,going N from 2G0 W Biddle
WALTEMYER AL,"from Fremont, N of Cooke"
WARREN S,of Russell
WARNER,going from 81 Elbow lane
WASHINGTON A V,"going south from Cross, W of Carroll"
WASHINGTON (F. H.),going south from
WASHINGTON (N) F. P,going north from Baltimore. E of Chapel
WASHINGTON PLACE,"from Centre to Madison, W of St. Paul"
WASHINGTON (S) F. P,"going south from Baltimore, E of Chapel"
WASHINGTON SQ,including Washing and Monument
WATERS' WHARF,from N E cor of Fell and Wolfe
WATSON,"from High to Central av, S of Baltimore"
WARREN,"from Light, S of Little Church"
WAVERLY TERRACE,"Carey, from Fay ette to Lexington"
WATER,"from South to Light, N of Lombard"
"WATER, F. H","going east from William, S of Gittings"
WATERS' WHF,foot of Fell
WAYNE,from 132 S Eutaw
WEBB,"from Ensor, N of Chew"
WEBSTER,"going south from Clement, E of Powder house"
WEBSTER CT,rear of 179 Greenmount av
WEBSTER,"Al from Albert al, S of Eager"
WELCOME AL,going west from 174 Light st whf
WEST,"going west from basin, s of Cross"
WEST A L,"from Eutaw, S of Camden"
WEST AL,"from Stirling, near Eager"
WEST FALLS AV,going south from Lom
WELSH AL,from 192 Lexington
WICOMICO,"going south from Cross, W of"
WILMER AL,from 43 W Hoffman
WILLIAM,going south from 23 York
WILLIAMSON AL,from Hanover to Light
WILLS,from 28 Philpot
WILLS-ST WHF,end of Wills
WILSON,from 431 Pennsylvania av
WINDSOR,"from Boston to Cambridge, S of"
WINE AL,"from Light to Charles, S of Bal"
WOLFE (N),going north from 364 E Balti
WOLFE (S),going S from 369 E Baltimore
WOLFE AL,"from Perry, W of Howard"
WOOD,"from South to Bowly's wharf, S of"
WOOD AL,"from Adams, E of Fremont"
WOOSTER,"going from James, S of Stock"
WYETH,from 224 Columbia
YELLOTT'S CT,rear of 213 Chesnut
YORK,"going west from Basin, S of Lee"
Y'OUNG,from 22 Orleans
YOUNG AL,"from Dallas, S of Jefferson"
MARKETS,
BEL- AIR MARKET,"Forrest, from Hillen"
CENTRE MARKET,from Baltimore to
CROSS STRKET MARKET,from Light to
FELL'S POIN,"r MARKET Broadway, fm"
HANOVER,MARKET NWcornerof Han
HOLLINS-ST. MARKET,HolhnsS of Bal
LEXINGTON MARKET,"Lexington, from"
RICHMOND MARKET,from Howard to
