street,extent
CLARE,"from James, S of Elk"
CLARET AL,"from Fremont, S of Lee"
CLARK'S CT,between Douglass and Low
CLARKSON AL,"from West, W of Hanover"
CLAY,going west from 58 N Liberty
CLEMENT,going east from Montgomery S of Beason
CLEMM,"going east from Boyle, S of Fort"
CLIFFORD AL,"from Scott, N of Columbia"
COHEN'S AL,"from Mulberry, E of Eutaw"
COLLEGE AL,"from Saratoga, E of Park"
COLLIN 'S CT,"from Saratoga, W of mont"
COLVIN AL,"from Trent, S of Gay"
COMB A L,"from Lee, W of Hanover"
COMET,"from East to Aisquith, N of Fay"
COMMERCE,goingsouth from 75 Exchange
COMMERCE LA,"from Second, E of South"
COMMERCIAL WHF,from 97 and 103
CONCORD,going south from Fish Market
CONSTITUTION,from 62 N Front
"CONSTITUTION, LITTLE",from Peniten
CONWAY,agoing west from Light-st. whf
COOKE,from from Pennsylvania av. to Fremont
CORDERY'S WHF,now Abraham's Ship
CORNER'S WHF S,end of Buchanan's
CORNER'S WHF,foot of Ann
COTTON ROW,"from Clinton, E of Boston"
COUNTY WHF,foot of Broadway
COURT HOUSE LA,going from Calvert to
COVINGTON,going south from water line E of Henr)'
COWPEN AL,going west from 8 N Liberty
COX,"from Jones, south of water front"
CREEK AL,"from Hamburg, E of Hanover"
CROOKED LA,"from Fayettc,W of Charles"
CROSS,"going west from Basin, S of Ham burg"
CROSS AL,"from Greene, S of Franklin"
CUBA,going east from Hull N of Beason
CUMBERLAND,frm N Calhoun N of Baker
CURLEY,from Lancaster E of Fatuxent Fremont
CURTIS AL,from Thompson W of Fre mont
CYPRESS AL,from Lombard E of Sharp
DALLAS (N),Going north from 220 E Balti more Monument Chew Gay To Northern av
DALLAS (S),Going south from 135 e Balli .more
DARK LA,"from St, Paul, N of Lexington"
DAVIS,going north from 13 Lexington
DAWSON AL,from 481 W Pratt
DECATUR,"going south from Cox, E Lowman"
DECKER,going north from 24 W Chase
DECKER AL,from 384 W Eager
DELUOL AL,from Penna. av. S of Biddle
DEWBERRY AL,from 761 W Baltimore
DIAMOND,from 203 W Fayette
DICKSON AL,from MosherW of Cathedral
DIVISION,going from 85 Hoffman
DOLPHIN,going S W from Cathedral Hoffman
DONNELL'S WHF,"foot of Fell, W side"
DONOVAN AL,going west from 2 Jasper
DOUGLASS,from Exeter to Aisquith Fayette
DOVER,from Hanover to Fremont Pratt
DOVE AL,from Townsend E of Green mount av
DOYLE'S AL,from 25 Bank
DUNCAN AL,going north and south
DUG AN 'S WHF,from 27 W Pratt
DUFF'S WHF,from 37 Fell
DURHAM (N),(or Happy alley) going
DURHAM (S),going south from 364 E timore
DURST AL,"from Cross, between William and Washington"
EAGER (E),going east from Jones Falls of Chase
EAGER (W),going west of Jones Falls
EAST FALLS AV,going south from 1 E
EAST,from 86 E Baltimore
EAST AV,Eastern boundary
EDEN (N),going north from 164 E Balti more
EDEN (S),going south from 177 E Baltimore
EDEN CT,going from Central av. N of Jef ferson
EDEN AL,from Eden N of Baltimore
EDWARD,from Aisquith S of Gay
ELBOW LA,"from Paca to Fremont, S Pratt"
EISLEIN,"from Sterrett, S of McHenry"
EISLEIN AL,"from Scott, N of Hamburg"
ELDER AL,"from Orchard, betw Penna and Ross"
ELK,from James S of Gunpowder
ELLINS,going from 116 Hoffman
ELLICOTT,going east from cor Boston and Patapsco
ELLICOTT,"going S of Water, E of Light"
ELM,"going from Townsend, N of Oliver"
ELIZABETH LA,from Cross e of Charles
EMORY,going south from 377 W Pratt
ENSOR,"going north from Chesnut and Gay timore ,76 Saratoga .174 Monument Biddie"
EUTAW (S),going south from 363 w Balti more Camden Henrietta
EUTAW PLACE,"Eutaw street, north of"
EXCHANGE AL,from Lombard w of Gay
EXCHANGE PLACE,from South to Gay
EXCHANGE AL,going south from 59 Sec
EXETER (N),going north from 60 e Balti
EXETER,(S&gt;i-going south from 69 E Balti more
FALLS,from East Falls av to Constitution S of Monument
FALLS ROAD,Cathedral extended
FAWN,going East from East Falls av S of Stiles
PAYETTE,(W) going west from Jones Falls Harrison Frederick Gay Calvert Carey
