ward,white,free_colored,slave,black_total,aggregate,black_pct
1,6020,1220,181,1401,7421,18.88
2,6035,1229,129,1358,7393,18.37
3,7503,2415,184,2599,10102,25.73
4,7205,1286,110,1396,8601,16.23
5,6894,933,385,1318,8212,16.05
6,5628,727,256,983,6611,14.87
7,4756,1058,428,1486,6242,23.81
8,7322,2031,293,2324,9646,24.09
9,5676,1292,369,1661,7337,22.64
10,7372,1991,229,2220,9592,23.14
11,7340,1842,339,2181,9521,22.91
12,9396,1943,296,2239,11635,19.24
