,count
Elder al. near Orchard,1
Pearce,1
Welcome al Johns Wash. 225 Bethel,1
Chesnut al Jenkins Nathl. court from Columbia st,1
s Gharies,1
Potier,1
Chesnut,1
Short JON 823 LEE,1
10 n Canal,1
15 Jasper,1
Moore-ai,1
Elder al. near Orchard st,1
Lee Maddox Win. laborer 38 Burgundy al,1
East Lynch Abra. Boyd w Fremont,1
10 X al,1
X ar LOW 327 MAT,1
L. Pleasant Love Wm. 64 Mulberry,1
1-2 Caroline,1
North Lock Alexander. G. 48 Tyson,1
Hull's Lane,1
1 Jew al,1
Delias,1
Rabon;,1
Ea*t,1
w Lombard Lane Wm. Howard s Montgomery,1
s Ho:vard,1
Durst al. F. H,1
Run al. or Arch st Wilson James C. 13 Inloes a I,1
Jerterson,1
East ver and Leadenha,1
Raborg Powell Edwd. whitewashes 37 L. Church,1
1 0 e Madison Potter Geo. rear 10 Bath,1
Staral,1
Hull's lane West Geo. 137 Sarah Ann,1
Dallas White Mrs. A. 150 Dallas,1
Phllpot al,1
Beihel,1
Arsryle al,1
Hamihon,1
Carpentei'd al,1
Peiry,1
Jerlerson,1
Sarah Ann White Geo. 104 Spring,1
Short Spear Louisa. 116 Siirling,1
Davit D,1
Columbia Snowden Thos. 44 Diddle al,1
1 0 Jasper,1
s Soring,1
Bethel Whittington Wm. stevadore. 189 Spring,1
Aisquith Wilkinson Wm. labr. 65 Dover,1
Moore's al SMI 337 STE,1
12 Jasper,1
Deluolal,1
Peiic-e,1
Dallas [Summerville Antb. 17 Herring's court,1
Eutaw ct,1
s Spring WAL 341 WEL,1
Union',1
Sharp Waters Louisa. 190 Eastern av,1
n Sharp Weaver Benj. labr. al. betw,1
s Chailes,1
Tyson Wells Geo. labr. 47 Burgundy al,1
Slemnier'sal,1
Diddle al,1
"Durst al. F. H. Tilirbman Win. lab, Carpenter's al. w Greenest Tillman Wm. grain metis, Hamburg bet",1
Ross Tarter John' H. 24 St. Mary's,1
Forest Tidings En. 43 Run al,1
Dallas Well* Thos. labr. 53 Moore's al WEL 342 WIL,1
Dt-lnol al,1
Chesnul al,1
Short Thomas Chas. Marion,1
s Charles Taj lor Wm. 95 Orchard,1
Pbilpot al,1
Sarah Ann Taylor O. laborer. 5 Mullikin TAY 339 TIL,1
Chesnut al Smith Chas. 10 Short al,1
Tvson Shorter Rev. Thos. 34 St. Mary's •,1
Biddle al Shorter Geo. 95 Moore's al,1
Jew a I,1
Gilinffham's al,1
s Liberty Riley John M. 110 North,1
Centre Market Ridout Mrs! Perry H. conlect. 32 1-2 Baltimore,1
Jetferson,1
n Sharp Richardson Saml. whitew,1
1-2 Forest,1
Happy al Resin Geo. alley e Fremont st. s Pratt,1
1 Eutaw court,1
"Moore's al lla zor Jacob, butcher",1
Mulberry ROB 334 SAV,1
s Caroline RAM 333 ROB,1
years old,1
Stirling Rainbow Chas. Salisbury al Rainbow Danl. 4l Chatsworth Rainbow Elizab. 1 Salisbury al,1
Potler,1
sEutaw,1
i G. Hughes,1
East Pratt Saml. Half Moon al,1
n Paca Powell Wm. Caroline al,1
Sarah Ann Robbins Chas. 162 s Charles,1
Chesmut'al,1
Gillincjham's al,1
19 Potter,1
s Eden ShiefT Jos. 26 Short,1
Chesnut al Sherwood Jos. 98 s Spring,1
Short Sewell Com. 32 State,1
Dallas Scroggins Wm. 47 Howard,1
Jasper Savoy Thos. brickmoul. al. s Welcome fin Lee st,1
Vine SAV 335 SIM,1
Hilleu,1
East Sanders Wm. whitew,1
Bethel Sampson Jos. 183 Happy al,1
L. Cnurcli,1
Tyson Runnels Wm. 171 Sarah Ann,1
President Ross Thos. Deluol al,1
Orchard Robins Edwd. 88 East,1
n Liberty Rooksberry Wm. Goodman's al,1
Carpenter's al Robinson Richd. 98 Spring,1
8 German,1
Jasper Robinson Eliz;ib. rear 95 e Lombard,1
Johnson Roberts Wra. C- 1 45 Low,1
Hollidayi dvv 59 Orleans,1
Dallas n Ann,1
Betiiel,1
Forrtst,1
"""20 L. Hughes",1
East CAM 308 CHE,1
Welcome al Caldwell Thos. rear 89 Aisquith,1
17 s i'aca,1
Rabonr,1
Temple Burrows Wm. 7 Herrings'* court,1
Si. Mary,1
Ferry,1
I Comb al,1
Raborgst,1
Dailas,1
22 Tyson,1
Peirce st,1
Deluulal,1
"Sarah Ann thrown Jacob, laborer, Eutaw st. s Montgomery Brown Thos. court tear of cor",1
Douglass Brown Tims. Mechanics' court,1
Pen v,1
liaborg,1
Tessier Brown Benj. Gi East,1
Herring's court Cane Riehd. whitewashes 99 Hill,1
Alice Anne,1
Dallas DAR 311 D1L,1
Chesnut al Carroll Sam. brickm,1
Eulaw court,1
Chesnut ai,1
fool al,1
3 1 Hill,1
Cbesnuf al,1
McElderry's al,1
1 5 Low,1
Hub's lane,1
20 Hill,1
Slur al,1
Union Cooper Thos. 307 Eastern av,1
Happy al coo 310 DAR,1
York r ',1
Canton ay •,1
Orchard Clark Chas. Washington al. or Herring's court,1
Chesnot al ',1
s Howard *• Christ man John T. 12 Williamson al,1
Harpy al,1
Centre Chase Wm. 7 Painter's court,1
McCl llau,1
H-r.m^'s cturi,1
42 Holliday Brogden Aujr. drayman. 65 Cliesnut al,1
Baltimore st- d\t 56 Deluolal,1
Conway • Beetle Wm. sawyer. 1-2 Elbow lane,1
s Eutaw Bateman Rdwd. Mullikin st. e Broadway,1
Sarah Ann Barton Deb. 14 L. Church,1
Cross Barnes Wm. 175 Happy al,1
Bath BAR 303 BLA,1
Chesnutal *,1
Gardtn,1
Lewis Bailey Richd. whitewashes 51 Park,1
Vine Bailey Geo. 84 Harford av,1
1 Chesnutal,1
Dover Bacon Wm. rear 64 Granby,1
31 Hill,1
L. Pkasartt AND :302 BAR,1
s,1
fnloes al,1
"28 s Caroline Anderson Louisa. 49 Hampstead Anderson N. ""10 loot al."" near Spring",1
Happy ai,1
Jefferson Allen Wm. ivalter; 21 Jasper,1
07 L. Hughes,1
Aruyle al,1
Carpenter's al Bennet John T. 9 Jelfersou,1
Potter!,1
Perry Boyer Mar^t. 191 Sharp,1
Eutaw court Briirhtman Edwd. la br. Morton al.nr. Madison si,1
Painter^ court,1
Elbow la tie,1
Si. Paul,1
Hampstea I Bradley Saml. J. p >rter. 6] Cliesnut al,1
Wayne Bradley E. B. 71 Chesntit a I,1
Cliy,1
Dallas Bracker Mary. McKim st,1
Raborg Boyd Margt. Scott s Columbia,1
X alley,1
L. Cnurch,1
Chesnut at,1
Hanover Bowen Richd. 124 Spring Bowen T. 118 Sarah Ann,1
Jasper Bowen Edwd. rear 9 Saratoga,1
Tvson Booth Jonath. H.'29 Sarah Ann Booth Saml. Tyson near Cathedral,1
Dallas Bond Nancy^. Peirce near Fremont,1
Short £LA 304 BOW,1
Dallas Blackston Saml. 58 East,1
1*8 Jasper,1
JerJerson,1
Wayne Jackson Eiizab. 72 Davis,1
Centre Market Harris Danl. bricklayer Si plaist. 242 s Bond,1
Hun al,1
St. JVJary,1
Ciiesnul al,1
Elisor Harden Jeretu. I Tyson al,1
Mul'.ikin,1
n Sharp Handy Isaac S. .-{.3 Puller Handy James A. teamsier. 2.59 Eastern av,1
Slenimei's al,1
luloes al,1
Tysou,1
Sibling,1
Clav,1
Henrieiia,1
Jerlenion,1
Rabnror,1
St. Mary Hall Ehzab. rear 122 York,1
F/ist,1
Watson Hall Arm. 152 s Eutaw,1
Mollikin Hageny Andw. paper hanger. 62 Lewis,1
Herring's court B*,1
Wayne Harkius Alex. Henrietta bet,1
n'Exe'er,1
1-2 n Amity Delozier Alex. 7 Sarah Ann,1
12 Dallas,1
"Chesnut al i, sawyer, 51 Bethel",1
Oeluol al,1
Car.il,1
Sliding,1
Happy al Howe Win. 8 8 Eden,1
1-2 Holliday,1
Raborg HOW 321 JAC,1
Happy al How Saml. 22 n Eden,1
Philpotal,1
Happy al Hiichins Sand. 84 Holland,1
Bethel row,1
1 Hill,1
Bank lane or McElderry st. contd,1
n Spring Heath Edwd. 56 East,1
Orchard Hayden Elizab. 40 Low,1
1-2 Potter,1
Inloes al Harrison Danl. Goodman's al,1
Cheapstde,1
Welcome al Harris Jos. 7 Elder al. near Orchard st,1
L. Church Groove Robt. 65 Forest Groves B. grain meas. rear 7 J Conway,1
Carpenter'* al,1
Croaa,1
Peir^e,1
1-2 n Gay,1
E.bow lane,1
Delnol al,1
Happy a I •,1
1 0 Potter,1
L. Greene,1
Bund,1
Dover Earl Richd. 67 Burgundy al,1
Moore's a I,1
Hauipstead Dunn Rev. Chas 9L1 Low,1
Potter DUD 313 FLA,1
Biddlf al,1
Deiuol al,1
Bethei Dorsey Alex. 23 Deiuol a I Dorsey Alex. 101 North al,1
Gillingham's al,1
Mil berry,1
Peirce „_,1
Sarah Ann Dfxon Julia A. 253 Happy al,1
German Diggs Geo. 69 Vine,1
French Foreman Wm. 97 East,1
Bath Gaines Wm. 61 Hampstead,1
1 0 North,1
Luwis,1
Dover Grinage Fredk. 46 Lewis,1
Dallis,1
Licjht,1
Chesnnt al,1
Gillin^ham's al,1
Gillinghara's al,1
Low Grjy Sarah. 123 Montgomery Gray Win. 14 Eutaw court,1
Hannan's lane »,1
Hanover Grant Chas. 9 Peirce,1
St'te,1
84 s Howard,1
Chatsworth Goldsborough Thos. 18 Shakspear GOO 316 ' GRI Gooby Chas. 55 Pleasant,1
Perry Goldsborough Jas. H. 162 Tyson al,1
Dallas Gibson Wm. McElderry al,1
Orchard Gibson Robt. whitewashes 42 n Sharp,1
Montgomery Gibson Margt. 305 Eastern av,1
tlampstead,1
Wavne,1
e Sharp Young Jno. 3 s Green,1
