,count
Potter,47
Peirce,32
Chesnut al,31
Moore's al,24
L. Church,23
Raborg,21
Union,20
Run al,17
L. Hughes,17
Deluol al,16
Carpenter's al,15
Hull's lane,14
s Eutaw,13
St. Mary's,10
Star al,9
Herring's court,9
Wolf,8
Bath,7
Painter's court,6
Bounty lane,6
St. Mary,6
Eutaw court,5
X al,5
Holland,4
Chatsworth,4
Hampstead,4
Columbia,3
Union al,3
Hawk,3
Argvle al,3
Gillingham al,3
Slate,3
Stale,3
Chats worth,2
Slemmer al,2
Richmond,2
Poller,2
Chaisworth,2
Sterling,2
L. Hushes,2
Fork,2
Elisor,2
Welcome a I,2
Slemmer's al,2
Chesnutal,2
1-2 Welcome al,2
Tvson,2
Spring Garden av,2
Cdesnutal,1
Dallas Mollison Henry. 94 s Eutaw,1
POtteff,1
Chesnuta.1,1
Chatswortb,1
Potter Morrison Jef. 80 Tyson,1
Montgomery Moore Rev. John J. s Howard st. chapel Welcome al,1
57 Dallas,1
B.hhI MYL 53 Montgomery Hary & Rose. 182 Dallas,1
s Spring Miller Thos. 15 Hull's lane,1
Happv al,1
Hill Newman K. 79 WalSOn,1
Debiol al,1
Tvsou,1
Argyle al Miller Jas. 28 Jefferson,1
Burgundv al,1
Elbow lane Milburn Susan A. Cider al. w Green st,1
18 Hill,1
Stirling Matthews Those furniture wagoner. 56 Oileans Matthews Thus. K. 2 Sarah Ann,1
Short al Myers Robt. 30 Dallas,1
Jasper Newton Robt. rear 215 Chesnut,1
Jasper Matthews Nich. labr,1
Holliday Njchojs Chas. Seolt q Columbia,1
Wavne Pritchet Saml. 211' Wolf,1
"Davis Plick Rich d."" 12 Welcome al",1
L. Hughes Pinket Edwd. Hamburg bet,1
Perry Pijrson Geo. West w Howard Pikes Mrs. C. 46 Dallas,1
Short al Phillips Chas. Iron al,1
Dahas,1
Camden Permilfer Alex. 139 North Perry Chas. 36 Wayne,1
4-2 Tyson,1
Hampsfead,1
Orchard Williams Wm. 218 Hanover,1
Potter PAI 331 PIN,1
Orchard Osier Wm. porter 88 St. Mary,1
Watson Williamson Chas. Vibr. Constitution s Eager,1
Sargh Ann,1
Peirce Nugent Margt. Elbow lane,1
Carpenter's aj,1
McElderry al Nicholson Benj. laborer. 50-Delunl al,1
n Gasoline,1
D illas,1
Poppleton Matthews Richd. McKim Matthews Richd. 215 Saratov Matthews Richd. laborer. lM Sarah Ann,1
Low Martin VVm. Spring s Fayette,1
Johnson Pomlrey Thos. 9 Chesnut al,1
Painter's court Johnson Julia A. hair work. 8 French lane,1
Ar<_ryle al,1
Orchard Jones John P. superintendent Baltimore Club,1
Sar.ih Ann,1
Harlbrd av,1
V'ork,1
Burgundy al JOH 324 JON,1
Flbow lane,1
15 Low,1
Wayne Johnson Horace 9 Elder al. near Orchard,1
Eutaw court Wood Z. 125 s Howard,1
Mott st JOH 323 JOH,1
