old,new,relation,raw
BARCLAY OF,REARDON,was,Reardon St: was Barclay Ave of St
MARY,RECTORY,was,Rectory Lane: was St Mary Ave
BUDNITZ,REDGRAVE,was,Redgrave Court: was Budnitz Court
REGISTER,JACKSON,became,Register St: became Jackson Square
REMINGTON,FOX,became part of,Remington Place: became part of Fox St
REX,GARDEN,now,Rex Alley: now Garden St n.d. Atl 3
JORDAN,RHEIN,was,Rhein Court: was Jordan Alley Court
RICE,CARLTON,became part of,Rice Alley: became part of Carlton St
RIDGE,DALLAS,became part of,Ridge Place: became part of Dallas St
RIDGELY,WARNER,now,Ridgely St: now Warner St
RIDGELY'S ADDITION,RIDGELY'S DELIGHT,see,Ridgely's Addition: see Ridgely's Delight
RIDGELY'S DELIGHT,RIDGELY'S ADDITION,see,Ridgely's Addition: see Ridgely's Delight
PACA OR,RIEGER,was,Rieger Court: was Paca Place or Court
ROBERT,RIEMAN,was,Rieman St: was Robert Ave
CEMETERY,RIGGS,was,Riggs Ave: was Cemetery Lane
TENANT,RIGGS,was,Riggs Ave: was Tenant
RIVER,KEY,now,River St: now Key Highway
RIVER FRONT,KEY,now,River Front St: now Key Highway
THE BATTERY,RIVERSIDE PARK,was,Riverside Park: was The Battery
PART OF HARE,ROCHESTER,was,Rochester Place: was part of Hare St
ROGERS,LLOYD,became part of,Rogers Ave: became part of Lloyd St
ROGERS,MILTON,now,Rogers St: now Milton Ave
ROSE,ETTING,became part of,Rose Alley: became part of Etting St
ROSE,GARDEN,now,Rose Alley: now Garden St
ROSELAND,GITTINGS,became part of,Roseland St: became part of Gittings St
ROSELIND,BEVERLY,became part of,Roselind Ave: became part of Beverly St
ROSELIND,GITTINGS,became part of,Roselind St: became part of Gittings St
RUBIN,BENSON,see,Rubin Ave: see Benson Ave
RUSSELL,MCALEER'S,became part of,Russell Court: became part of McAleer's Court
PART OF ANN,RUTLAND,was,Rutland Ave: was part of Ann St
RUXTON,BALDERSTON,now,Ruxton Lane: now Balderston St
CEDAR OR ROW,BARNABAS,was,St Barnabas Court: was Cedar Court or Row
CLAIR,SINCLAIR,became part of,St Clair Lane: became part of Sinclair Lane
PAUL,ELIZABETH,was,St Elizabeth Court: was St Paul Court
JAMES,LEWIS,became part of,St James Court: became part of Lewis St
JOSEPH,ELLSWORTH,became part of,St Joseph St: became part of Ellsworth St
MARY,FRUIT,became,St Mary Court: became Fruit Court
MARY,SEMINARY,became,St Mary Court: became Seminary Court
UNION OR,MATTHEW,was,St Matthew St: was Union Alley or St
PAUL,SARATOGA,now,St Paul St: now Saratoga St
PETER,NANTICOKE,became,St Peter Alley: became Nanticoke St
PENN,PETER,was,St Peter St: was Penn
TAMMANY,FAYETTE,now,St Tammany St: now Fayette
THOMAS,YELLOTT,see,St Thomas Court: see Yellott Court
YELLOTT,THOMAS,see,St Thomas Court: see Yellott Court
SALISBURY,TEMPLE,became part of,Salisbury Alley: became part of Temple St
SALISBURY,WATSON,now,Salisbury St: now Watson St
BOWEN,SARATOGA,was,Saratoga St: was Bowen St
BOWEN,SARGENT,was,Sargent St: was Bowen St
GREEN,SASSAFRAS,was,Sassafras Court: was Green Court
SASSAFRASS,HAMBURG,now,Sassafrass St: now Hamburg
SPRING,SCHAEFER,was,Schaefer Court: was Spring Court
WINDSOR,SCHOOL,was,School St: was Windsor Ave
SELMA,BRUCE,became part of,Selma Place: became part of Bruce St
FRONT,SENECA,was,Seneca St: was Front St
FORREST FROM GERMAN,SHARP,was,Sharp St: was Forrest St from German
SHARPING,SECOND,became,Sharping Lane: became Second St
SHARPING,WATER,now,Sharping Lane: now Water St
SHEPHERD,CALLENDER,became part of,Shepherd St: became part of Callender St
SHIRK,MACE,became,Shirk Alley: became Mace St
SHIRK,23RD,now,Shirk St: now 23rd St
BAYARD,SHORT,was,Short Alley: was Bayard Court
SHORT,SOMERSET,became part of,Short St: became part of Somerset St
SHORT,BRIEF,became,Short St Court: became Brief Court
VALLEY,SIMPSON,was,Simpson St: was Valley St
FRANKLIN,SINDALL,was,Sindall St: was Franklin Terrace
MT VERNON,SISSON,was,Sisson St: was Mt Vernon Ave
SLEIGH'S,FAIRMOUNT,became,Sleigh's Lane: became Fairmount Ave
SLEIGH'S,HAMPSTEAD,became,Sleigh's Lane: became Hampstead St
SLEIGHS,SLIGHS,see,Sleighs Lane: see Slighs Lane
SLIGHS,SLEIGHS,see,Sleighs Lane: see Slighs Lane
SLIGHS,FAIRMOUNT,now,Slighs Lane: now Fairmount Ave
SMITH,WEBB,became part of,Smith Alley: became part of Webb St
SMITH,DARLEY,became part of,Smith St: became part of Darley Ave
SMITH'S,HOLLINGSWORTH,now,Smith's Alley: now Hollingsworth St
20 FT OR,SMITHS,was,Smiths Alley: was 20 Ft Alley or Lane
SMOCK,LITTLE AISQUITH,now,Smock Alley: now Little Aisquith
SMOCK,LLOYD'S,see,Smock Alley: see Lloyd's Lane
LLOYD'S,SMOCK,see,Smock Alley: see Lloyd's Lane
SNYDER'S,BEALE,became,Snyder's Court: became Beale Court
BALTIMORE,KEY,became,South Baltimore Highway: became Key Hwy
SPEARS,LITTLE SECOND,now,Spears Alley: now Little Second St
FOURTH,SPRINGHILL,was,Springhill Ave: was Fourth Ave
SPRING ROW,FALLS,became part of,Spring Row: became part of Falls Rd
SPRING ROW,SPRING,became part of,Spring Row: became part of Spring St
SPRING,VINE,now,Spring St: now Vine St
STABLE,2ND,now,"Stable Alley: now ""E 2nd St"""
STABLE,LITTLE 2ND,now,Stable Alley: now Little 2nd St
STAR,CHAPEL,now,Star Alley: now Chapel St
STARR,MONTEBELLO,became part of,Starr Lane: became part of Montebello Ave
STERRETT,BARRE,became,Sterrett St: became Barre St
STEWARD,DARK,became part of,Steward Court: became part of Dark lane
STEWARD,ELBOW,became,Steward Court: became Elbow Court
STILES,PRINCE,now,Stiles St: now Prince St
STILLHOUSE,FRONT,now,Stillhouse Alley: now Front St
STILLWATER,BEDFORD,now,Stillwater Alley: now Bedford Lane
UPTON,STIRLING,was,Stirling St: was Upton St
STOCKHOLM,SWEDEN,became,Stockholm St Court: became Sweden Court
STODDARD,CARRERE,see,Stoddard Alley: see Carrere
CARRERE,STODDARD,see,Stoddard Alley: see Carrere
CALVERT,STONE,was,Stone Alley: was Calvert Court
CHURCH,STONE,was,Stone Alley: was Church Court
STRAWBERRY,DALLAS,now,Strawberry Alley: now Dallas
STRAWBERRY,STATE,see,Strawberry Alley: see State St
STATE,STRAWBERRY,see,Strawberry Alley: see State St
STREAMS,WATER COURSES,see,Streams: see Water Courses
WATER COURSES,STREAMS,see,Streams: see Water Courses
HARRISON,STREEPER,was,Streeper: was Harrison
STUART,STEWART,became,Stuart St: became Stewart St
MEYD,STUMP,was,Stump Alley: was Meyd Court
MEYER,STUMP,was,Stump Alley: was Meyer Court
SUFFOLK,WEBSTER,became part of,Suffolk St: became part of Webster St
SUGAR,CHURCH,now,Sugar Alley: now Church St
WINTER,SUMMER,was,Summer Court: was Winter Court
SUMWALT,24TH,now,Sumwalt St: now 24th St
SUMWALT'S,RED,became,Sumwalt's Lane: became Red Lane
PART OF CHARLES,SUN,was,Sun Square: was part of Charles St
SWAN,HERRING,became,Swan Alley: became Herring Court
HORSEMARKET SPACE,SWAN,was,Swan St: was Horsemarket Space
SWEET AIR,3RD,now,Sweet Air Ave: now 3rd St
SWEET AIR,36TH,became part of,Sweet Air Ave: became part of 36th St
DIVISION,SWEET AIR,was,Sweet Air St: was Division St
SYCAMORE,BUENA VISTA,now,Sycamore Ave: now Buena Vista Ave
SYCAMORE,POOLE,see,Sycamore Ave: see Poole St
POOLE,SYCAMORE,see,Sycamore Ave: see Poole St
TALBOT,APPLE,became,Talbot Place: became Apple Court
TALBOT,TALBOTT,became,Talbot St: became Talbott St
TALBOTT,HUTTON,became,Talbott Ave: became Hutton Rd
TALBOTT'S,APPLE,became,Talbott's Court: became Apple Court
TAYLOR,BOHEMIA,became,Taylor Court: became Bohemia Court
TAYLOR,HEALY,became part of,Taylor Court: became part of Healy Court
TAYLOR,MULLET,became,Taylor Court: became Mullet Court
CEMETARY,TENANT,was,Tenant St: was Cemetary Lane
PRIVATE NEAR FULTON,TENANT,was,Tenant St: was private near Fulton Ave 1867 Atl B
RIGGS,TENANT,see,Tenant St: see Riggs Ave
THOMPSON,BOYD,now,Thompson Alley: now Boyd St
PRIVATE NEAR,THOMPSON,was,Thompson St: was private near
TIMBER NECK,HENRITETTA,now,Timber Neck Lane: now Henritetta
TIMBER NECK,LITTLE MONTGOMERY,now,Timber Neck Lane: now Little Montgomery
TIMBERNECK,RIDGELY'S ADDITION,see,Timberneck: see Ridgely's Addition
RIDGELY'S ADDITION,TIMBERNECK,see,Timberneck: see Ridgely's Addition
TURNER,TIRNER,was,Tirner Lane: was Turner Lane
TOME,TOONE,became part of,Tome St: became part of Toone St
PART OF TOME,TOONE,was,Toone St: was part of Tome St
TOWNSEND,30TH,became part of,Townsend Ave: became part of 30th St
GUILFORD,TOWNSEND,was,Townsend Court: was Guilford Place
BROOK,TRACTION,was,Traction St: was Brook Court
WOODBROOK TERR,TRACTION,was,Traction St: was Woodbrook Terr
TRAPPE,OLD TRAPPE,see,Trappe Rd: see Old Trappe Rd
OLD TRAPPE,TRAPPE,see,Trappe Rd: see Old Trappe Rd
TRENTON,LEMMON,see,Trenton St: see Lemmon St
LEMMON,TRENTON,see,Trenton St: see Lemmon St
TRIPOLETS,CUSTOM HOUSE,now,Tripolets Alley: now Custom House Ave
TRIPOLETS,FORMAN,became,Tripolets Alley: became Forman St
TRIPOLETS,P O,now,Tripolets Alley: now P O Ave
TRIPOLETTS,CUSTOM HOUSE,now,Tripoletts Alley: now Custom House Ave
TRIPOLETTS,FORMAN,became,Tripoletts Alley: became Forman St
TIRNER,TURNER,see,Turner Lane: see Tirner Lane
TURTLE SOUP,CHINA OR,now,Turtle Soup Alley: now China Alley or St
UHLER'S,OLD LOMBARD,see,Uhler's Alley: see Old Lombard St
OLD LOMBARD,UHLER'S,see,Uhler's Alley: see Old Lombard St
SECOND,ULMAN,was,Ulman Ave: was Second Ave
UNION,ARCH,now,Union Alley: now Arch St
UNION,MARION,now,Union Alley: now Marion St
UNION,MATTHEW,became,Union Alley: became St Matthew St
UNION,HOPE,became part of,Union Ave: became part of Hope St
UNION,MCALLISTER,became part of,Union Ave: became part of McAllister St
UNION,UNITY,became,Union Court: became Unity Court
UNION,CHESTNUT,see,Union St: see Chestnut St
CHESTNUT,UNION,see,Union St: see Chestnut St
GREEN,UNION,see,Union St: see Green St
UNION,GREENWILLOW,became part of,Union St: became part of Greenwillow St
UNION,LOMBARD,became part of,Union Terrace: became part of Lombard St
MERRYMAN'S OR,UNIVERSITY,was,University Pkwy: was Merryman's Lane or Ave
STIRLING,UPTON,see,Upton St: see Stirling St
MCCLELLAN,10 FT,see,10 Ft Alley: see McClellan St
20 FT,REGISTER,now,20 Ft Alley: now Register St
VALLEY,CECIL,became,Valley St: became Cecil Ave
VALLEY,KENNEDY,became,Valley St: became Kennedy Ave
WINDSOR,VAN LILL,was,Van Lill St: was Windsor St
MARTIN'S,VERNAL,was,Vernal Court: was Martin's Court
GILMOR,VINEYARD,was,Vineyard Lane: was Gilmor Lane
VIOLET,3RD,now,Violet Ave: now 3rd Ave
3RD,VIOLET,was,Violet Ave: was 3rd Ave
VULCAN,NEW CHURCH,became,Vulcan Alley: became New Church St n.d. Atl 1
VULCAN,WYOMING,now,Vulcan Alley: now Wyoming St
WABASH,ALEXANDER,see,Wabash Ave East: see Alexander Ave
ALEXANDER,WABASH,see,Wabash Ave East: see Alexander Ave
JOSEPHINE,WAESCHE,was,Waesche St: was Josephine St
CONCORD EAST OF LEAKIN,WAGNER,was,Wagner St: was Concord east of Leakin
BAKER,WAGON,was,Wagon Alley: was Baker Court
WAGON,CLAY,now,Wagon Alley: now Clay St
WAGON,CLONEY,became,Wagon Alley: became Cloney St
ARCHER,WALKER,see,Walker St: see Archer St
WALL,MCCABE,now,Wall St: now McCabe St
WALLIS,PAUL,became part of,Wallis Place: became part of St Paul St
WALTER'S,GREENWILLOW,now,Walter's Alley: now Greenwillow St
FAYETTE,WAPPING,was,Wapping Alley: was Fayette Court
WARDEN,CONCORD,see,Warden St: see Concord St
WASHINGTON,BALTO WASH TNPK,see,Washington Rd: see Balto & Wash Tnpk
BALTO WASH TNPK,WASHINGTON,see,Washington Rd: see Balto & Wash Tnpk
WATER CO,BALTO WATER CO,see,Water Co: see Balto Water Co n.d. Atl 2
BALTO WATER CO,WATER CO,see,Water Co: see Balto Water Co n.d. Atl 2
WATER,PINDLE,became,Water Court: became Pindle Court
WATER ROW,PINDLE,became,Water Row: became Pindle Court
WATER,CALLED EXCHANGE,now,Water St: now called Exchange
WATER,FAIT,now,Water St: now Fait Ave
WATER,LANCASTER,became,Water St: became Lancaster St
WATERFRONT,KEY,became,Waterfront St: became Key Hwy
WATERING,OLD LANDING ATL 3,see,Watering Place: see Old Landing Atl 3
OLD LANDING ATL 3,WATERING,see,Watering Place: see Old Landing Atl 3
WATERS,PINDLE,became,Waters Court: became Pindle Court
WATERS,LONGWOOD,became part of,Waters Lane: became part of Longwood St
WATERS ROW,PENDLE,became part of,Waters Row: became part of Pendle Court
WATERS ROW,PINDLE,became,Waters Row: became Pindle Court
WATSON,AISQUITH,became part of,Watson Court: became part of Aisquith St
WAVERLY,CAREY,became part of,Waverly Terrace: became part of Carey St
WEBB,SMALL,became part of,Webb Alley: became part of Small St
WEBSTER,DANIEL,became,Webster Alley: became Daniel Court
WEBSTER,SMALL,became,Webster Alley: became Small St
WEBSTER,HEYWOOD,became,Webster Court: became Heywood Court
WEBSTER,BOYLE,became,Webster St: became Boyle St
WEHAGE,CLEMENT,became part of,Wehage St: became part of Clement St
PART OF HOHENHOFF,WELDON,was,Weldon Circle: was part of Hohenhoff Pkwy
WELLS MCCOMAS MONUMENT,ASHLAND,see,Wells & McComas Monument: see Ashland Sq
ASHLAND,WELLS MCCOMAS MONUMENT,see,Wells & McComas Monument: see Ashland Sq
WENBURN,RUSSELL,now,Wenburn St: now Russell St n.d. M4642-53
WESLEY,MONASTARY,became part of,Wesley St: became part of Monastary Ave
LIFFEY,FALLS,was,West Falls Ave: was Liffey St
BROWN,WEYLER,was,Weyler St: was Brown
WEYLER,CROSS,became part of,Weyler St: became part of Cross St
WHISKEY,KING,now,Whiskey Alley: now King St
WHITE,TEMPLE,became part of,White Court: became part of Temple St
WHITES,TEMPLE,became part of,Whites Court: became part of Temple St
WICHITA,TOWANDA,see,Wichita Ave: see Towanda Ave
TOWANDA,WICHITA,see,Wichita Ave: see Towanda Ave
WICKE'S,5TH,now,Wicke's Lane: now 5th Ave
WILEY,WYLIE,became,Wiley Ave: became Wylie Ave
WILKENS,CARTHERINE,became part of,Wilkens St: became part of Cartherine St
WILK'S,BANK,now,Wilk's Lane: now Bank Lane
WILKES,BANK,became,Wilkes Alley: became Bank Lane
WILL,BROWN'S,see,Will St: see Brown's Lane
BROWN'S,WILL,see,Will St: see Brown's Lane
WILL,WELLS,now,Will St: now Wells St
LINWOOD,WILLIAM,was,William St: was Linwood Ave
WILLIAM,30TH,now,William St: now 30th St
WILLIAMSON,HAMBURG,see,Williamson Alley: see Hamburg St
HAMBURG,WILLIAMSON,see,Williamson Alley: see Hamburg St
WILLOW,NORWOOD,became,Willow Court: became Norwood Court
GEORGE,WILMER,was,Wilmer Alley: was George St Court
LITTLE WATER,WILMER,was,Wilmer Alley: was Little Water St
OXFORD,WILMER,was,Wilmer Alley: was Oxford Court
WATER,WILMER,was,Wilmer Alley: was Water Court
WILSON,BREWER,became,Wilson Court: became Brewer Court
WILSON,BERRY,became,Wilson St: became Berry St
WINDERMERE,34TH,see,Windermere Ave: see 34th St
34TH,WINDERMERE,see,Windermere Ave: see 34th St
WINDSOR MILL,LIBERTY,see,Windsor Mill Rd: see Liberty Pike
LIBERTY,WINDSOR MILL,see,Windsor Mill Rd: see Liberty Pike
PART OF NEW LIBERTY,WINDSOR MILL,was,Windsor Mill Rd: was part of New Liberty Rd
WINDSOR MILL,WINDSOR,see,Windsor Mill Rd: see Windsor St
WINDSOR,WINDSOR MILL,see,Windsor Mill Rd: see Windsor St
BRUCE,WINSLOW,was,Winslow Court: was Bruce Terrace
WOLFE,GOUGH,now,Wolfe St: now Gough St
LITTLE GOUGH,WOLFE,was,Wolfe St: was Little Gough St
WOOD,CATHERINE,became part of,Wood Alley: became part of St Catherine St
WOOD,UPTON,became part of,Wood Alley: became part of Upton St
LINCOLN,WOODBROOK,was,Woodbrook Ave: was Lincoln Ave
WOODBROOK,TRACTION,became part of,Woodbrook Terrace: became part of Traction St
PART OF BARRE,WOODWARD,was,Woodward St: was part of Barre St
WOOSTER,CAREY,now,Wooster St: now Carey St
PART OF CAREY,WORCHESTER,was,Worchester St: was part of Carey St
WORCHESTER,WOOSTER,see,Worchester St: see Wooster
WOOSTER,WORCHESTER,see,Worchester St: see Wooster
WRIGHT,CARLTON,became part of,Wright Alley: became part of Carlton St
30TH,WRIGHT,see,Wright St: see 30th St
KING,WYMAN,was,Wyman Ave: was King St
YORK,GREENMOUNT,now,York Rd: now Greenmount Ave
YORK,OLD YORK,see,York Rd: see Old York Rd
OLD YORK,YORK,see,York Rd: see Old York Rd
YORK OLD,MONTEBELLO,became,York Rd Old: became Montebello Ave
YORK OLD,STAR,became,York Rd Old: became Star Lane
DALLAS,YOUNG,was,Young Alley: was Dallas St Court
YOUNG,RINGGOLD,now,Young Alley: now Ringgold St
YOUNG,BENIDECT,became part of,Young Ave: became part of St Benidect St
YOUNG,WAYSON,became part of,Young St: became part of Wayson St
