,count
Lerew's al,69
Chesnut,66
Chesnut al,66
Raborg,62
s Eutaw,40
L. Church,38
St. Mary,35
Union,27
Carpenter's al,17
Eutaw ct,15
Hull's la,15
L. Hughes,12
X al,11
Hampstead,10
Cecil al,10
Union al,10
Mechanics' ct,10
Gillingham al,9
Foundry,9
Spruce al,9
Mechanic's ct,9
Penna. av,9
Richmond,8
Herring's ct,8
Hagar's ct,8
Bounty la,7
Ivy al,7
Bethel row,6
Chesnutal,6
Dawson,6
Slemmer al,6
Chatsworth,6
Plover al,5
Bell al,5
Elder al,5
Walnut al,5
Birckhead's ct,5
Cohen's al,5
Halfmoon al,5
Albert al,5
Plumb,4
Spring Garden av,4
French,4
Holland,4
Gibson ct,4
Hawk,3
MuUikin,3
Center,3
Whortleberry al,3
Arcade al,3
Mitchell's ct,3
Gravel al,3
Lerew'sal,3
Forney al,3
McElderry's ct,3
Walker's ct,2
McClellan's al,2
Beale's ct,2
Hager's ct,2
L. Paca,2
Smith's al,2
Penna av,2
n Frederick,2
Chestnut al,2
Mt. Vernon place,1
Ivy al 444,1
Holiday Newman Wm. H. 21 L. Monument,1
Harden 's ct,1
Chcsnut,1
Hampstead Newman Mrs. 287 Cross,1
Temple Lockett Wm. 2 Pliilpot,1
Kimmel al Myers Charles A. (Lewis & M.) 30 State,1
State Nichols Ann M. 222 s Bethel,1
Forney,1
L. McElderry 1 448 COLORED PEROSNS,1
Pgirce,1
Jas]ier,1
McMechin,1
Burg^iindy al,1
s Howard Johnson Wm. laborer. 180 s Dallas,1
Tripoli's al,1
Sarah Anrt,1
Walker's ct 29,1
n Dallas Peck Rev. Francis J. 1 Bell al,1
Bath,1
Jew al Peker John H. 66 Sarah Ann,1
Younff al,1
Butler al,1
Cider al Phillips T. 305 Canton av,1
Wilmer al Pipes Ann M. 41 Williamson,1
Dover 450,1
al near Greene,1
Lcrew's al,1
s Eutaw Moore Rev. Daniel W. 321 s Howard,1
n Eutaw,1
Wilnier al,1
Myer's ct,1
s Wolte,1
China al Malagin M. 132 n Spring,1
Kichmond,1
Lcrew'sal,1
Stiles Lemmon Wm. 70 n Ann Lemmon Wm. 292 e Fayette,1
s Sharp Mason Mary A. 24 n Dallas,1
s Levin,1
s CaroHne Matthews Ann M. 102 n Central av,1
Jaspi>r,1
East Knapp Wm. 49 Chesnut al,1
Camel al 447,1
Haw McGree Mary. 110 n High,1
L. Charles,1
Porry,1
Henrietta Kennis iVlary E. 177 Harford av,1
Minces al,1
Sarrh Ann,1
L. xMonument,1
Dawson al K,1
Etna la,1
Ce'cil al,1
Eutaw ct Mitchell Wm. drayman. 111 Carpenter's al,1
Orchard Jones John P. 38 Richmond,1
Hajti-y al,1
Foundry Montgomery Martin S. 194 s Spring,1
Tyson Logy Mary A. 61 Williamson al,1
s Bethel Roberts Wm. H. 94 Lerew's al Robertson Dr. Geo. 139 Hill,1
Kimmel's al,1
Ensor Trusty Stephen L. 63 s Dallas,1
Taylor's ct,1
s Bethel Taylor Robt. 60 Welcome al,1
St. Paul 455,1
Forrest Stokes Wm 17 Douglass,1
Mulliken Stewart Rebecca L. 115 Harford av,1
Gillingham alley ^,1
Tripolett's al,1
Bounty lane,1
Dover Stansbury Wm. 213 Mullikin,1
Church,1
s Dallas Squirrel John W. 5 State,1
East Sparrow Wm. laborer. 111 n Dallas,1
s Spring Sommerville Anthony 107 s Bethel,1
Union Snowden Mary A. 239 Dover,1
Raborg-,1
Chapel al Tidings En. 41 Arch,1
Penna. av Turner Wm. 85 s Spring,1
Conway Powell George W. 57 Chatsworth,1
Mechanics ct,1
Spruce al Wilson Ann M. 93 Stirling,1
Morris al COLOKED PERSONS. 459 Wilmore Lucretia. 99 Sarah Ann,1
Hanover Williams Wm. D. porter. 17 Haw,1
s Howard Williams Rev. Wm. 162 East,1
Henrietta Williams Sarah. 16 Sarah Ann,1
Hap-,1
Jasper Williams George W. 70 Chesnut Williams George W. 82 Moore al,1
Klbow la,1
Dawson al,1
State 458,1
Sarah Ann West James L. 2 X al,1
Gillinghsm al,1
Kast,1
Chesnut al 457,1
L. Church W,1
Cross Snell Wm. 203 Vine,1
Raborg 454,1
Bounty la Smith Wm. H. 50 St. Mary,1
Grecnwillow,1
Short Ridgaway Sarah A. 8 Herring's ct,1
St. Paul Richardson Sarah J. rear of 126 s Fremont,1
L. McElderry Richardson Jane A. 172 Lerew's al,1
s Bethel 451,1
St. Mary's,1
Philpot Revels Rev. Hiram Y. R. 41 Tyson,1
Durham Reese Mary A. 7 Marion,1
Chesnut al Redding R. 112 Welcome al,1
Pin al R,1
Birckhead'a ct,1
Holland Q,1
n High Purnell Wm. waiter 60 Orchard,1
North Pulley Ann L. 39 Low,1
Raborg Proctor Jos. 109 s Bethel Proctor Mary V. 224 Lemmon al,1
Hamilton Price Sarah A. 25 Wayne,1
Chesnut ct,1
Little al Ringgold Ann M. 98 Orchard,1
Light Roberts A. 18 Forrest,1
Chesnut a!,1
Henrietta Smith John H. 96 St. Mary,1
Moore ai,1
s Kutaw,1
Jasper Small Ellen 29 Dover Small Julia A. 82 L. McElderry,1
Ivanhoe'sct,1
Moore's al,1
Biddle al Shields Henry D. 15 Hampstead,1
and 149 s Caroline Johnson Ann M. 18 Leadenhall,1
Webster's al,1
Chesnut al Scott Nancy A. 16 Slemmeral,1
Wayne Scott Mary A. 11 Madison al,1
Short Salsbury Wm. 77 Somerset,1
Kimmel's al 452,1
s Bethel Robinson Mar'y E. 13 Hull's la,1
East Johnson C. 119 n Spring,1
Sarah Ann Hawkins Elmira 8 Wayne,1
s Bethel Johns Wm. B. 7 Guilford al Johns Wm. F. 37 Williamson,1
Cider al Cedars A. 110 Henrietta,1
Orchard Colvin Ann 26 Welcome al,1
Harford av Collins Henry H. 71 L. Church,1
Watchhouse al Cole Elizabeth A. 51 s Bethel,1
Chesnut al Christmas Wm. 261 Hughes,1
Raborg 433,1
Stirhng,1
Dover Carroll Wm. 38 Park,1
Moore al Johnson A. cook at Adams house,1
s Bethel Carroll Henry 238 Hughes,1
w Lombard Carpenter Wm. 50 n Sharp,1
Mulliken,1
Hill Butler S. 196 Happy al,1
Peirce 432,1
Hanrpstead,1
Carpenter's al Contee Wm. waiter at Barnum's hotel,1
Booth Cook Julia A. 43 State,1
Philpot al Cook Wm. 21 Sarah Ann Cook Wm. 29 Raborg 434,1
Kmg,1
State Cotton Win. H. waiter at Fountain hotel,1
Scott Creek Dr. John W. 99 North,1
Ivy,1
Mott Cromwell Mary J. 27 Union,1
"L. Hughe.""}",1
East Crump Eveline 234 Durham,1
n Calvert,1
Hill D,1
Dougla.ss,1
Painter's ct 435,1
Stirling Deal James H. Hughes near Charles,1
Henrietta Denny Julia Ann. 163 Happy al,1
L. McElderry Dixon Mary A. 237 Dover,1
Eutaw-st. ct,1
Lerew's al Buchanan Wm. H. 87 Moore al,1
Wayne Buchanan John E. 87 Moore al,1
Welcome al Boarman Wm. 743 w Baltimore,1
Dover Aldi'idge Thos. waiter at Fountain hotel,1
sEutaw,1
Salisbury al Armstead Wm. if. 10 Salisbury al,1
s Spring Ates J. 50 Chesnut al,1
Elbow la 428,1
Lerew's al Ayers James H. 125 York B,1
McKlderry,1
East Bantum Sarah A. 77 Garden,1
"s Washington, F",1
Halfmnon al,1
Myers' ct,1
Slate,1
n Gay 429,1
Pine I,1
Park Bond Rachel A. 56 Peirce,1
s Howord,1
Ivyal,1
Tyson Booth Wm. 73 Sarah Ann,1
s Howard Bordley Julia A. 5 Raborg,1
X al Boston Rose A. 71 L. Church,1
Ross Bowyer Geo. Wm. H. 55 Ross,1
Chesnut al Brian Lewis P. 55 s Dallas,1
Durjiam,1
Lester's ct. near Warner,1
Henrierta,1
Kaborg,1
Morris al 431,1
Moore at,1
Sarah Ann Brown Rev. John M. 143 North Brown John T. 40 Short,1
Park Brown Wm. 151 Durham,1
Dorsey,1
s Dallas Dixon Wm. 2 Stockton av,1
Diamond Dorsey Alex. 103 North,1
Marion's ct,1
s Bond Hancock Sarah A. confect'ry.45 L McElderry,1
Harden 's court,1
w Lomlmrd,1
Knsor,1
Pin aJ,1
Exchange place,1
Clover at,1
Short Hayman Mary A. 75 Lancaster,1
Lester's ct. near Wayne,1
East Heath Wm. 50 L. Church,1
Biddle al 441,1
Smith al,1
Orleans Henry Wm. 65 Welcome al,1
Saratoga Hicks Wm. 49 L. Monument,1
Orchard Hodge Mary J. 15 Leadenhall Hodge Sarah E. 161 Sarah Ann,1
President 440,1
Chats worth,1
Tesseir,1
EutaAV ct,1
Jefferson Hopkins Mary E. A. washerwom. 36 n Dallas,1
Short al Hopkins Rev. Wm. H. 9 Plumb,1
Inloes al House Wm. 7 Inloes al,1
Cohens al,1
Bounty la T,1
Bell al Imess Wm. 135 n Dallas,1
Mott Jackson Wm. 168 s Bethel,1
Bounty la 443,1
doors from Douglass,1
Hammond al Jenkins Mary J. 114 Holiday,1
Edward Johns David P. 101 Raborg,1
L. Monument Hamilton Mary J. 56 Chesnut,1
Arch al Hall Elizabeth A. 44 n Sharp,1
Hanover 436,1
Bell al Gains John H. 222 Hanover,1
Welcome al Douglass B. F. 49 Elbow la,1
"East iDraper Garrison, tobacconist, 162 Forrest -Draper George, 26 Dover .Draper John, 105 Happy al",1
Orchard Dunn Rev. Chas. 99 Low,1
Lerew's aJ,1
and 11 Saratoga,1
Vine Emory Wm. waiter at Fountain hotel,1
Hagar's cl,1
Bank F. *,1
n Shaip,1
Jefferson Flamer Wm. 224 s Bethel,1
Lerew's al Foreman Ann J. 121 n Spring,1
n Spring Fokes P. 145 Bank,1
L. Monument Francis George H. 8 McElderry ct,1
n I)al]as,1
Hill Gardner Alex. 4 X al,1
Temjile,1
and 233 Montgomery,1
Plum Gowrings Robert Z. Henrietta near Eutaw,1
Hamburg 439,1
St. Mtiry,1
s Buthel,1
Tyson Greenwood John H. 48 n Dallas,1
St. Miry,1
Welcome al Griffin Wm. 299 s Eutaw,1
Sai'atoga,1
P^ircc,1
Morris al Gustus Vincent R. 135 s Bethel,1
n Dallas Guy Ann M. 58 Kast,1
Happy al H,1
Harding's court,1
Halfmoon al Wilson Chas. W. policy deal. 45 w Lombard,1
