ward,white,free_colored,slave,black_total,aggregate,black_pct
1,3675,535,267,802,4477,17.91
2,5794,1430,288,1718,7512,22.87
3,4982,1204,362,1566,6548,23.92
4,5465,809,371,1180,6645,17.76
5,2538,240,313,553,3091,17.89
6,2752,258,459,717,3469,20.67
7,2542,450,468,918,3460,26.53
8,2739,626,227,853,3592,23.75
9,2516,795,268,1063,3579,29.7
10,4646,1066,407,1473,6119,24.07
11,4275,1273,334,1607,5882,27.32
12,6131,1640,593,2233,8364,26.7
