,count
Chesnut,218
Raborg,181
s Eutaw,69
L. Church,64
Chesnut al,63
X al,40
Eutaw ct,31
L Church,29
Hull's la,29
Eastern av,29
Wagon al,27
L. Hughes,27
Ivy al,21
Foundry,20
w Baltimore,18
Gillingham al,18
Richmond,15
L. Pleasant,14
SPEAR'S WHARF,13
n Holliday,12
Penna av,10
Shad al,10
Pleasant,9
n Frederick,9
Spear's Wharf,9
Walnut al,9
Bethel row,9
St. Thomas ct,9
Elder al,8
Arcade al,8
s Liberty,7
Reese al,7
L Hampstead,7
L Hughes,7
and 40 West Baltimore Street,7
MuUikin,7
Plover al,6
Bell al,6
Bankard al,6
Sarah Ana,6
Arbel al,6
Mechanic's ct,5
College al,5
Spring Garden av,5
L. Hampstead,5
L Pleasant,5
Forney al,5
Courthouse la,5
s Central av,5
Stone al,4
South la,4
Anderson ct,4
SPEAR'S WHABF,4
Orbit al,4
Mechanics' ct,4
Robinson's ct,4
Butler,4
Baltimore-st. See p. 4. Advt,3
A'ine,3
Welsh al,3
Linden av,3
Garden,3
Clark's ct,3
Fip al,3
Tj-son,3
n Liberty,3
Jewal,3
Stag al,3
Barringer ct,2
Bounty la,2
n Siiarp,2
Chesnnt,2
Hammond al,2
w Foundry,2
Ilalfmoon al,2
s Paca,2
Barranger ct,2
Groves al,2
Fish Market sp,2
Spruce al,2
and 40 West Baltimore Sreet,2
Wavne,2
L. George,2
Jasjier,2
Pennal,2
Frederick av,2
Hagar's ct,2
Gelston's ct,2
Knsor,2
n Schroeder,2
W^ayne,2
AVelcome al,2
Barrenger ct,2
Chesnut ',2
Postoffice av,2
Peiree,2
SPEAR'S -WHARF,2
L. Harapstead,1
s Bethel The GROVER & BAKER SEWING MACHINE is the Nos. 308 and 310 W. Baltimore-st. see Advt. p. 303. 64 9 J. HENRY GIESB k CO,1
s Bethel Matthews Rev. P.H. 23 Wayne,1
Richmond Matthews Mrs. Sarah A. 70 Orchard,1
n Sehroeder,1
L. Bughes,1
u HoUiday,1
Waters' row,1
s S[)ring,1
Cedar al,1
Rabojjg,1
Spring Garden,1
Bankard's al,1
St. Paul's ct,1
Philjiot al,1
East Merritt Wm. 31 East,1
S. Holliday-st. 641 J,1
Ohioav,1
s Bethel Sanders Geo. brickmak. 5 n Bethel,1
n Hollidaj',1
Jetferson,1
n Dallas Maddox Rev. Chas. 220 s Howard,1
e Fa^'ette,1
T^son,1
Waj'ue,1
Jeti'erson,1
L. Cliurch,1
Hill Scott Mary A. 60 Raborg,1
doors from Fayette,1
w Second,1
and 38 s Charles,1
Shprt,1
s Bethel Zion (.African M. E. church) cor,1
Marioa,1
"L. Church""",1
Raborg °,1
Hnmburg,1
Wiliner al,1
Sappinprton Jno. 141 North,1
Baltimore-st. See p. 4. A dvt,1
Druid Hillav,1
Bounty al,1
L. Hanipstead,1
Lewis Richardson Geo. W. brickmak. 9 Salisbury al,1
Kiinmcl al,1
L McElderrj-,1
Ball al,1
s Howard Permian Louisa. 33 Jew al,1
Henriettji,1
s Durham Murray Eliza J. laundress. 23 Neighbor,1
Clay Myers Geo. (J. H. Smith & Co.) 145 s Dallas,1
AV'alnut al,1
Jasper Myers Sarah A. laundress. 51 Forrest,1
Lcadcnliall,1
Pcnua av,1
Uhesnut ct,1
Tessicr,1
Raborg:,1
St. Jlary,1
SPEAR'S WHARF. N,1
Baltimore-st. See Advt. p. 4-,1
7 1 York,1
Jordan ul,1
St. Marj-,1
w llolfraan,1
Burguudy al,1
Onio av,1
Bethel Row,1
s Eutaw Reed Jos. laborerj 131 n Dallas,1
JeffersoQ,1
L Monument Randall Martha E. laundress 21 L Monument,1
SPEAR'S WHAEF. R,1
S. Holliday-st. ri47 J. HENRY GIESE & CO,1
Harerove al,1
"Carlton J. HENBY GIESE & CO., Flour, Grain, Seeds",1
s Phitaw,1
Spear's Wharf. 40,1
Leadenball,1
Patapscoav,1
Holland Q,1
McCIellan al,1
(iuilford al,1
s Dnrham,1
Jefferson Sherwood Elizabeth N. 138 s Dallas,1
Hull's !a,1
SPEAKS WHARF,1
w Hoffmaa,1
Trust al,1
7 s Liberty,1
Hamburg AVeaver Wm. stevedore. 221 s Howard,1
Jasper AA'ayman Rev. A]ex. AV. 127 e Baltimore,1
St. Jarces,1
"L (""liurch",1
Jas[)er,1
HaMord av,1
State Waters Wm. driver,1
n Eutaw,1
Dorer,1
Inlocs al,1
s Holliday,1
SPEA.K'S WHARF,1
W\atson,1
Williarason al,1
s Howard Wallace Wm. H. 340 n Howard,1
sEutaw,1
Jasper Walker Rev. Perry G. 384 Cross,1
Jlechanics ct,1
W.ayne,1
Raborg Viiiie Geo. 2 Caroline ct,1
S. Holliday-st. f<59 J. HENRY GIESB & CO,1
Hill u,1
Diamond The GROVER AND BAKER SEWING MACHINE is the Nos. 308 and 310 W. Baltimore-st. see Advt. p. sos. 661 J. HENRY GIESE & CO,1
HargroTe al,1
Barrangerct,1
Gelston ct Williams Rev. Cbas. 4 Hagar ct,1
AA''elcome al,1
AVilliamson al,1
Bankert al,1
AVayne,1
Burgundy al Williams Rev. Wm. 207 s Howard,1
Biddlc al,1
AA'agon al,1
P^Uxnv la,1
?]utaw ct,1
Chester ct Wilson Anna M. 44 Vine,1
Kimmel at Williams Benj. 34 Vine,1
Abaters ct,1
s Bethel Wilson Eliza J. 23 Foundry,1
Burpundy al,1
Baltimore- st. See Advt. p. 4,1
w Baltimore Whittington Elizabeth A. 14 Marion,1
Gelston'sct,1
s Bethel White Edward. 5 Foundry,1
York WilsoH Geo. 100 s Bethel,1
Jasper Wilson Geo. R. 32 Vine,1
Bradenbaugh al,1
Moore al Wilson Jas. 28 Orchard,1
s Spring Turner Chas. laborer,1
s Howard Wilson Jno. grain measurer 272 s Howard,1
York Slaughter Sarah J. 2 Wayne,1
s Bethel Smith Rev. Wm. H. 12 L. Monument,1
Bfltgundyal,1
Burgundy al The GROVER & BAKER SEWING MACHINE is the ISTos. 308 and 310 W. Baltimore-st. see Advt. p. sos. 655 J. HENIIY GlESE & CO,1
York Stewart Susan J. rear 211 Hughes,1
Water's ct Stewart Ritter A. 120 York,1
Sarah Ann Stewart Enoch; 98 Leadenhall,1
Vine Stevens Thos. 224 Vine,1
X al Stanford Rev. A. L. 243 Montgomery,1
s Eu(aw,1
Orleans Sprigg Rev. John H. 78 Sarah Ann,1
and 114 Jasper,1
SPEAR'S WHARF-,1
Chesuut,1
Park Williams Mary II. 11 Eutaw ct,1
S. Holliday-st. COLORED PERSONS. 653 CO. J. HENRY GIESE k,1
s Dallas Smith Jno. 207 MuUikin,1
Plill,1
Jew al Smith Jas. 85 s Spring,1
Ty.son,1
n HoUiday,1
Leadeahall,1
Morrjs al,1
Linden av Sluby Rev. Michael F. 112 n Central av,1
St. Paul T,1
Chesnut ^,1
Pennaav,1
Arch i,1
P^lbow la,1
and 40 West Baltimore Street. 41,1
Hamburg Tolson Jas. H. grain meas. 318 L. Montgomery,1
East < Wilson Thos. 210 Mullikin,1
Watch house al,1
Cowpenal,1
Riiborg,1
Jas{)er,1
Wilmeral,1
s Eut.aw,1
s'Spring,1
s Regesler,1
L. McEIderry,1
T^-son,1
Elbdw la,1
Stiles Thomas Wm. H. stevedore. 38 Lewis,1
S. Holliday-st. 665 J. HEXRY GIESE & CO,1
Douglasg,1
Baltimore-st. See Advt. p. 4,1
Birckheadct,1
Orleans Thomas Geo. laborer. 115 s Spring,1
Orcbttrd,1
Welcome al Young Jno. B. 104 Welcome al,1
Baltimore-st. Seep. 4. Advt,1
Salis'nury al,1
John al CURTIS JOSEPH W. principal Monumental,1
Halfraoon al,1
AYelcome al,1
Philpot al Dickerson Sidney J. 91 L. Church,1
s Eutavv,1
S. Holliday-st. 617 J. HENRY GIESE k CO,1
"Penn al J. HENRY GIESE & CO., Flour, Grain, Seeds",1
s 15ethel,1
Tessier Davis Jos. hod carrier. 111 Sarah Ann,1
Etna la,1
n Dallas Davidge John J. 54 Williamson al,1
Clark's ct Cromwell Mary J. 14 Eutaw ct,1
York ',1
1 Walnut al,1
Watchhouse al,1
SPEAKS WHAKF,1
Myer'sct,1
1 1 Elbow la,1
Carlion,1
Jefl'erson,1
L. Monnment,1
Hull's lane,1
Chesnut •,1
Morns al,1
Philpot al Douglass John B. (D. tc Sons) 182 Madison av,1
Low Gilliard Mrs. Mary E. 188 Harford av,1
Eastern sly,1
"SPEAR'S ""WHARF",1
S. Holliday-st. 623 J. HENRY GIESE & CO,1
"n Dallas J. HENRY GIESE & CO., Flour, Grain",1
Havover,1
nHigh,1
w Hoffman Garrick Wm. waiter,1
Stump at,1
Tyson Freeman Mary A. huckstress 40 n Frederick,1
Slemmcr al,1
Cross Frazier Abram 188 s Durham,1
13 King,1
Welcome al Doualass Robt. C.{D. & Sons) 182 Madison av,1
SPEAR'S WHAKF,1
Butler Fisher Wm. hostler,1
0hioav,1
L Ilampstead,1
Burgun3y al,1
Finnall James E.. 58 Richmond,1
Tj'son,1
s Wolf,1
Tyson The GROVER & BAKER SEWING MACHINE is the ITos. 308 and 310 W. Baltimore-st. see Advt. p. sos 619 J. HENRY GlESE & CO,1
Arliel al,1
s Dallas Chaplin Sarah A. 85 Leadeuhall,1
JetTerson,1
Chesnut ct,1
SPEA-K'S WHARF,1
Tyson Bosley Chas. laborer. 6 Waters ct,1
Wagon .il,1
Burgundy al Boone Mary A. 3 Saratoga ct,1
n Dallas Bond Mrs. Lydia A. 266 Raborg,1
Slemmer^'s al,1
Uhion,1
n Caroline Blunt Juha A. laundress. 111 Welcome al,1
Fast,1
n Dalhis,1
w Pratt and Union,1
S. Holliday-st. 6<»5 J. HENRY GIESE & CO,1
Pcnna av,1
1 1 Welcome al,1
Madisou al,1
lUchmond,1
L Hanipstead,1
Jeukins al,1
1 Hagar ct Barnes Wra. S. porter. 94 Chesnut,1
Dover Bannister John T. 26 s Stockton,1
s Durban,1
Halfmoonal,1
Bethelrow,1
St. Mar}^ Bowen F. A. laundress. 51 Burgundy al,1
L Hughes The GEOVER & BAKER SEWING MACHINE is the J Nos. 308 and 310 W. Baltimore-st. see Advt. p. sos. 607 J. HENRY GIESE & CO,1
Harmony la Bowser Jacob W. (J. H. Smith & Co.) 68 Morris al,1
State Bowser Rev. Joseph P. 143 Hill,1
C1ILORED PERSONS,1
SPEAR'S -WHAKF,1
S. Holliday-st. 611 J. HENRY GIESE & CO,1
Hull's la Cager Ann M. cakes 72 Holland,1
s Regester Butler Mrr. Sydney A. 123 n Dallas,1
L Hampstead Butler Mary E. 1 s Bethel,1
Dover',1
Marson,1
Slate,1
Tjsont,1
and 40 West Baltimore Street. 38,1
n Central av Brown Rev. Wm. G. 29 Dover,1
W^ater's ct,1
Cider al Brown Dr. H. J. 92 n Dallas,1
Chesnut Brown Rev. Benj. 290 s Howard,1
Ivy al «,1
Leadenhall Brown Dr. Alex. 186 West,1
Iroa al,1
Williamson al Brooks Louisa T. (Davis & B.) 105 Hill,1
Mott Brice Rev. John H. 35 Forrest,1
Vine Boyer Charles J. (Cook & B.) 124 Jasper,1
Hnghes,1
South,1
Bethel row-,1
Hulls la,1
College ct,1
Jetferson ct,1
East Johnson Geo. carter. 54 Burgundy al,1
s Rethel,1
L. McEIdeny,1
L.Tleasant,1
Welch al,1
Hamilton Johnson Ann M. 1 Union,1
Arbelal,1
Hanibur'g,1
Park James Wra. L. (J. H. Smith & Co.)84 St. Paul,1
Boj'd,1
L McP]lderrj,1
J Chesnut,1
L. Hampstcad,1
Raborg Jackson Francis H. 47 s Dallas,1
L McEIderry,1
Morris al Jackson Benj. F. (M. Gibson & B. F. J.) 7 L. Montgomery,1
SPEAR'S 'WHARF,1
