,count
Davis The QROVER AND BAKER SEWING MACHINE is the Nos. 308 and 310 W. Baltimore-st. seeAdvt. p. sos. ti31 J. HENRY GIESE & CO,1
L Monument Hutchins Alex. sr. 50 East,1
Low Hughes Rev. Josiah H. 28 Jefferson,1
Second,1
L. I'aca,1
s Durham Gordon Wm. carpenter. 111 Davis,1
Boroth,1
1 Herrings ct,1
Plum al Lankford Mrs. John H. 65 Plum al,1
SPEA.R'S WHARF,1
Park Kennard Mary M. 47 n Sharp The GROVEE & BAKiR SEWING MACHINE is the Nos. 308 and 310 W. Baltimore-st. see Advt. p. sos. 63T J. HENRY GTESE & CO,1
Druid llill av,1
Burgundj- al,1
Wa3'ne,1
Saratoga Jordan Caroline F. 56 Lewis,1
Forney' al,1
n Greene,1
Foster al Jones John P. provis. 38 Richmond,1
Testier,1
Jasper Jones Rev. James A. 4 Peach al,1
Stagal,1
Jordan al Jones Chas. laborer. 111 Moore al,1
Hagars ct,1
S. HoUiday-st. 635 J. HENRY GIESE & CO,1
Sleumier's al,1
Davis Johnson Wm. huckster. 30 n Sharp,1
Chesuutal,1
Chesniit,1
Jefi'erson,1
s Bethel Hughes Henrietta. 145 s Durham,1
n Dallas Hughes Benj. navy. 145 s Durham,1
Burgnndy al,1
T3Son,1
Jasper Harper Mrs. Mary A. 126 Hill,1
SPEAR'S WHAKF. Harden Mary E. 6 Harnden ct,1
Elbow Ig,1
Hill Hammond Mrs. Mary A. 146 n Bethel,1
Forrest Hamilton Mrs. T. 32 Burgundy al,1
L. I\Ionument,1
Clay Hall Henj. hostler,1
Raborg Gu} Annie M. 54 East,1
s Howajd,1
Wolcome al,1
s Sprinp:,1
Moiris al,1
Sarah Ann The GROVER & BAKER SEWING MACHINE is the Nos. 308 and 310 W. Baltimore-st. seeAdvt. p. 308. 625 J. HENRY GIESE & CO,1
Raborg Green Rev. Wm. 28 s Stockton al,1
s Dallas Green Lucy A. 141 s Dallas,1
Gelsou ct,1
Welcome al Gray Wm. 1 St. James,1
Boyd Gray Wm. 57 w Centre,1
s Woife,1
McElderryct,1
John'al,1
Tessier Gorgus Harriet A. 231 Hughes,1
Jetfersoa ct,1
Chesnut Haskins Jas. 6 Chesnut,1
Tjson,1
Sai'atoga,1
Chesnut Hose Chas. G. coachman 10 Jordan al,1
Cliesnut,1
Raborg Holmes Jane E. 205 Hamburg,1
Jeffersoa,1
Welcomeal,1
e Fayette Hitchens Sarah H. dressmak. 51 L. Hampstead,1
St. James Hipkins Mary J. 5 St. James,1
Rickett's al Hinson Chas. barkeeper. 43 Saratoga,1
East Hiner Ann E. 92 St. Paul,1
Penn a!,1
Burorundy al,1
S. Holliday-st. 629 J. HENRY GIESE & CO,1
PostoHice av,1
Chesnut Hill Chas. rear 81 n S|)ring,1
Jusper,1
Ja3j)er,1
Tessier Henson Jas. hostler. 107 King,1
29 Dover,1
Barringer ct Hays Sarah E. laundiess. 111 Jasper,1
1 1 Jasper,1
Lcadenhall,1
Spear's Wharf. GEO. 0. STEVENS & CO. MAXnrACTORERS AND DEALERS IX,1
