name,region,modern_street_a,modern_street_b,pixel_x,pixel_y,world_x_epsg6487,world_y_epsg6487,lon_wgs84,lat_wgs84,fit_resid_affine_m,fit_resid_poly2_m,fit_resid_tps_m,loo_err_affine_m,loo_err_poly2_m,loo_err_tps_m,hue_offset_m,note
William & Montgomery,south,WILLIAM,MONTGOMERY,7233.0,6113.0,433544.38,179163.4,-76.611221,39.280017,22.0,13.9,0.00,23.1,15.2,10.5,1.2,
Charles & Cross,south,CHARLES,CROSS,6728.0,6653.0,433275.42,178795.21,-76.614357,39.276711,35.9,28.0,0.00,38.6,34.2,32.5,13.2,sheet join runs down Charles St here
Kenwood & O'Donnell,canton,KENWOOD,O'DONNELL,11931.0,6328.0,436511.28,179189.74,-76.576834,39.280135,5.9,4.9,0.00,6.4,5.8,2.5,,1851 name Chesapeake St
Linwood & O'Donnell,canton,LINWOOD,O'DONNELL,12131.0,6328.0,436633.27,179196.46,-76.575420,39.280191,5.0,1.4,0.00,5.5,1.7,0.7,,1851 name Patuxent St
Curley & O'Donnell,canton,CURLEY,O'DONNELL,12228.0,6328.0,436693.68,179199.77,-76.574720,39.280218,5.3,0.8,0.00,5.9,0.9,0.7,,same name on the 1851 sheet
Curley & Elliott,canton,CURLEY,ELLIOTT,12230.0,6507.0,436700.06,179087.35,-76.574652,39.279205,4.4,2.0,0.00,4.9,2.5,2.3,2.7,same name on the 1851 sheet
Ellwood & O'Donnell,canton,ELLWOOD,O'DONNELL,12528.0,6328.0,436879.77,179209.9,-76.572563,39.280301,6.5,2.1,0.00,7.3,2.6,0.3,,1851 name Canton St
Broadway & Monument,northeast,BROADWAY,MONUMENT,9673.0,2981.0,434997.64,181209.4,-76.594273,39.298389,6.2,2.8,0.00,6.5,3.0,3.2,3.1,
Wolfe & Monument,northeast,WOLFE,MONUMENT,10143.0,2984.0,435289.52,181224.76,-76.590889,39.298516,9.9,5.2,0.00,10.4,5.9,5.6,2.4,
Aisquith & Monument,northeast,AISQUITH,MONUMENT,8637.0,2990.0,434340.3,181171.96,-76.601896,39.298078,11.4,12.5,0.00,11.9,13.2,16.3,2.2,Aisquith is a diagonal; crossing read where the corridor centres meet
Harford & Chase,northeast,HARFORD,CHASE,8525.0,2126.0,434268.1,181708.82,-76.602705,39.302917,14.2,16.1,0.00,15.0,17.3,20.4,2.3,Harford Ave is a diagonal; weaker reading
Gay & Preston,northeast,GAY,PRESTON,9950.0,1722.0,435145.96,181993.41,-76.592513,39.305445,9.8,13.8,0.00,10.8,19.2,18.9,1.5,Gay St is wide here and a run passes close by; weaker reading
Guilford & Biddle,north,GUILFORD,BIDDLE,7282.0,1925.0,433478.89,181782.78,-76.611851,39.303613,9.7,8.4,0.00,10.3,9.1,13.4,5.2,1851 name North St
Barclay & Chase,north,BARCLAY,CHASE,7495.0,2118.0,433607.29,181671.11,-76.610368,39.302602,5.9,2.7,0.00,6.2,2.9,14.0,4.0,
St Paul & Preston,north,SAINT PAUL,PRESTON,6964.0,1737.0,433248.88,181887.17,-76.614513,39.304562,21.3,16.9,0.00,22.7,18.7,5.0,0.7,
Calvert & Preston,north,CALVERT,PRESTON,7111.0,1735.0,433348.66,181893.55,-76.613356,39.304616,14.4,9.1,0.00,15.4,10.0,1.8,1.4,
Greenmount & Preston,north,GREENMOUNT,PRESTON,7806.0,1728.0,433793.64,181919.1,-76.608196,39.304829,9.0,3.0,0.00,9.7,3.3,1.5,2.9,
Greenmount & Federal,north,GREENMOUNT,FEDERAL,7733.0,1158.0,433725.93,182268.69,-76.608963,39.307981,14.0,4.9,0.00,15.4,5.9,11.8,2.2,
Greenmount & Lanvale,north,GREENMOUNT,LANVALE,7700.0,988.0,433705.85,182385.94,-76.609190,39.309037,1.3,10.0,0.00,1.4,12.8,16.0,2.5,northernmost verified point on the sheet
Etting & Lanvale,northwest,ETTING,LANVALE,4922.0,2194.0,431997.67,181549.24,-76.629035,39.301565,5.0,4.3,0.00,5.4,5.3,7.6,2.1,Etting keeps its name on the 1851 sheet; the label lies along the line through this crossing and the Dolphin one
Etting & Dolphin,northwest,ETTING,DOLPHIN,5037.0,2346.0,432079.77,181462.84,-76.628088,39.300784,3.0,5.4,0.00,3.2,6.4,7.7,2.2,Etting keeps its name on the 1851 sheet
