name,role,reference,pixel_x,pixel_y,world_x_epsg6487,world_y_epsg6487,loo_err_helmert_m,loo_err_affine_m,loo_err_poly2_m,loo_err_tps_m
Battle Monument,check_merged,osm:453652377,7135,4256,433436.81,180346.75,15.89,15.99,20.35,18.85
Union Square centre,check_merged,osm:85585339,3086,4751,430920.29,179917.92,14.29,13.07,4.37,2.43
Franklin Square centre,check_merged,osm:85585348,3470,4169,431148.29,180294.07,13.45,14.41,4.34,5.72
Fort McHenry star centre,check_merged,osm:1220301007,11408,9251,436257.13,177312.87,23.52,36.10,11.52,65.99
Mount Clare mansion,check_merged,osm:85715388,2838,6135,430804.69,179033.76,8.08,3.16,17.59,20.24
Potomac & Baltimore,check_merged,balt_streets.geojson,12315,4198,436683.44,180539.62,19.85,19.88,8.41,6.29
Fulton & Baltimore,check_merged,balt_streets.geojson,2600,4495,430607.59,180065.75,16.74,15.96,7.03,6.20
Calhoun & Fayette,check_merged,balt_streets.geojson,3370,4272,431089.42,180231.35,18.15,19.16,8.28,2.43
Stricker & Hollins,check_merged,balt_streets.geojson,3187,4660,430979.50,179977.23,14.54,13.14,5.99,2.91
Eutaw & Madison,check_merged,balt_streets.geojson,5937,2790,432650.94,181199.30,16.89,14.23,10.41,13.85
Charles & Chase,check_merged,balt_streets.geojson,6705,2110,433123.69,181645.27,21.06,16.85,11.09,24.76
Russell & Ostend,check_merged,balt_streets.geojson,5295,6625,432356.10,178783.97,16.53,19.24,10.13,33.12
Wolfe & Lancaster,check_merged,balt_streets.geojson,10171,5777,435383.99,179469.77,4.78,6.41,6.27,8.42
